"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"01";"";"1";"Østfold";;""
"02";"";"1";"Akershus";;""
"03";"";"1";"Oslo";;""
"04";"";"1";"Hedmark";;""
"05";"";"1";"Oppland";;""
"06";"";"1";"Buskerud";;""
"07";"";"1";"Vestfold";;""
"08";"";"1";"Telemark";;""
"09";"";"1";"Aust-Agder";;""
"10";"";"1";"Vest-Agder";;""
"11";"";"1";"Rogaland";;""
"12";"";"1";"Hordaland";;""
"14";"";"1";"Sogn og Fjordane";;""
"15";"";"1";"Møre og Romsdal";;""
"18";"";"1";"Nordland";;""
"19";"";"1";"Troms Romsa";;""
"20";"";"1";"Finnmark Finnmárku";;""
"50";"";"1";"Trøndelag";;""
"99";"";"1";"Uoppgitt";;""
