"code";"name";"versjon"
"3815";"Drangedal";1
"3816";"Nome";1
"3817";"Midt-Telemark";1
"3818";"Tinn";1
"3819";"Hjartdal";1
"3820";"Seljord";1
"3821";"Kviteseid";1
"3822";"Nissedal";1
"3823";"Fyresdal";1
"3824";"Tokke";1
"3825";"Vinje";1
"4201";"Risør";1
"4202";"Grimstad";1
"4203";"Arendal";1
"4204";"Kristiansand";1
"4205";"Lindesnes";1
"4206";"Farsund";1
"4207";"Flekkefjord";1
"4211";"Gjerstad";1
"4212";"Vegårshei";1
"4213";"Tvedestrand";1
"4214";"Froland";1
"4215";"Lillesand";1
"4216";"Birkenes";1
"4217";"Åmli";1
"4218";"Iveland";1
"4219";"Evje og Hornnes";1
"4220";"Bygland";1
"4221";"Valle";1
"4222";"Bykle";1
"4223";"Vennesla";1
"4224";"Åseral";1
"4225";"Lyngdal";1
"4226";"Hægebostad";1
"4227";"Kvinesdal";1
"4228";"Sirdal";1
"4601";"Bergen";1
"4602";"Kinn";1
"4611";"Etne";1
"4612";"Sveio";1
"4613";"Bømlo";1
"4614";"Stord";1
"4615";"Fitjar";1
"4616";"Tysnes";1
"4617";"Kvinnherad";1
"4618";"Ullensvang";1
"4619";"Eidfjord";1
"4620";"Ulvik";1
"4621";"Voss";1
"4622";"Kvam";1
"4623";"Samnanger";1
"4624";"Bjørnafjorden";1
"4625";"Austevoll";1
"4626";"Øygarden";1
"4627";"Askøy";1
"4628";"Vaksdal";1
"4629";"Modalen";1
"4630";"Osterøy";1
"4631";"Alver";1
"4632";"Austrheim";1
"4633";"Fedje";1
"4634";"Masfjorden";1
"4635";"Gulen";1
"4636";"Solund";1
"4637";"Hyllestad";1
"4638";"Høyanger";1
"4639";"Vik";1
"4640";"Sogndal";1
"4641";"Aurland";1
"4642";"Lærdal";1
"4643";"Årdal";1
"4644";"Luster";1
"4645";"Askvoll";1
"4646";"Fjaler";1
"4647";"Sunnfjord";1
"4648";"Bremanger";1
"4649";"Stad";1
"4650";"Gloppen";1
"4651";"Stryn";1
"5001";"Trondheim";1
"5006";"Steinkjer";1
"5007";"Namsos - Nåavmesjenjaelmie";1
"5014";"Frøya";1
"5020";"Osen";1
"5021";"Oppdal";1
"5022";"Rennebu";1
"5025";"Røros";1
"5026";"Holtålen";1
"5027";"Midtre Gauldal";1
"5028";"Melhus";1
"5029";"Skaun";1
"5031";"Malvik";1
