"kommunenummer_2020";"kommunenavn_2020";"historisk_nummer"
"1144";"Kvitsøy";"1144"
"1145";"Bokn";"1145"
"1146";"Tysvær";"1146"
"1149";"Karmøy";"1149"
"1151";"Utsira";"1151"
"1160";"Vindafjord";"1160"
"4601";"Bergen";"1201"
"4611";"Etne";"1211"
"4612";"Sveio";"1216"
"4613";"Bømlo";"1219"
"4614";"Stord";"1221"
"4615";"Fitjar";"1222"
"4616";"Tysnes";"1223"
"4617";"Kvinnherad";"1224"
"4618";"Ullensvang";"1227"
"4618";"Ullensvang";"1228"
"4618";"Ullensvang";"1231"
"4619";"Eidfjord";"1232"
"4620";"Ulvik";"1233"
"4621";"Voss";"1234"
"4621";"Voss";"1235"
"4622";"Kvam";"1238"
"4624";"Bjørnafjorden";"1241"
"4623";"Samnanger";"1242"
"4624";"Bjørnafjorden";"1243"
"4625";"Austevoll";"1244"
"4626";"Øygarden";"1245"
"4626";"Øygarden";"1246"
"4627";"Askøy";"1247"
"4628";"Vaksdal";"1251"
"4629";"Modalen";"1252"
"4630";"Osterøy";"1253"
"4631";"Alver";"1256"
"4626";"Øygarden";"1259"
"4631";"Alver";"1260"
"4631";"Alver";"1263"
"4632";"Austrheim";"1264"
"4633";"Fedje";"1265"
"4634";"Masfjorden";"1266"
"4602";"Kinn";"1401"
"4635";"Gulen";"1411"
"4636";"Solund";"1412"
"4637";"Hyllestad";"1413"
"4638";"Høyanger";"1416"
"4639";"Vik";"1417"
"4640";"Sogndal";"1418"
"4640";"Sogndal";"1419"
"4640";"Sogndal";"1420"
"4641";"Aurland";"1421"
"4642";"Lærdal";"1422"
"4643";"Årdal";"1424"
"4644";"Luster";"1426"
"4645";"Askvoll";"1428"
"4646";"Fjaler";"1429"
"4647";"Sunnfjord";"1430"
"4647";"Sunnfjord";"1431"
"4647";"Sunnfjord";"1432"
"4647";"Sunnfjord";"1433"
"4648";"Bremanger";"1438"
"4602";"Kinn";"1439"
"4649";"Stad";"1441"
"4649";"Stad";"1443"
"1577";"Volda";"1444"
"4650";"Gloppen";"1445"
"4651";"Stryn";"1449"
"1506";"Molde";"1502"
"1507";"Ålesund";"1504"
"1505";"Kristiansund";"1505"
"1511";"Vanylven";"1511"
"1514";"Sande";"1514"
"1515";"Herøy (Møre og Romsdal)";"1515"
"1516";"Ulstein";"1516"
"1517";"Hareid";"1517"
"1577";"Volda";"1519"
"1520";"Ørsta";"1520"
"1507";"Ålesund";"1523"
"1578";"Fjord";"1524"
"1525";"Stranda";"1525"
"1578";"Fjord";"1526"
"1528";"Sykkylven";"1528"
"1507";"Ålesund";"1529"
"1531";"Sula";"1531"
"1532";"Giske";"1532"
"1507";"Ålesund";"1534"
"1535";"Vestnes";"1535"
"1539";"Rauma";"1539"
"1506";"Molde";"1543"
"1506";"Molde";"1545"
"1507";"Ålesund";"1546"
"1547";"Aukra";"1547"
"1579";"Hustadvika";"1548"
"1579";"Hustadvika";"1551"
"1554";"Averøy";"1554"
"1557";"Gjemnes";"1557"
"1560";"Tingvoll";"1560"
"1563";"Sunndal";"1563"
"1566";"Surnadal";"1566"
"5061";"Rindal";"1567"
"5055";"Heim";"1571"
"1573";"Smøla";"1573"
"1576";"Aure";"1576"
"5001";"Trondheim";"1601"
"5055";"Heim";"1612"
"5055";"Heim";"1613"
"5056";"Hitra";"1613"
"5059";"Orkland";"1613"
"5056";"Hitra";"1617"
"5014";"Frøya";"1620"
"5057";"Ørland";"1621"
"5059";"Orkland";"1622"
"5054";"Indre Fosen";"1624"
"5057";"Ørland";"1627"
"5058";"Åfjord";"1630"
"5058";"Åfjord";"1632"
"5020";"Osen";"1633"
"5021";"Oppdal";"1634"
"5022";"Rennebu";"1635"
"5059";"Orkland";"1636"
"5059";"Orkland";"1638"
"5025";"Røros";"1640"
"5026";"Holtålen";"1644"
"5027";"Midtre Gauldal";"1648"
"5028";"Melhus";"1653"
"5029";"Skaun";"1657"
"5001";"Trondheim";"1662"
"5031";"Malvik";"1663"
"5032";"Selbu";"1664"
"5033";"Tydal";"1665"
"5006";"Steinkjer";"1702"
"5007";"Namsos - Nåavmesjenjaelmie";"1703"
"5034";"Meråker";"1711"
"5035";"Stjørdal";"1714"
"5036";"Frosta";"1717"
"5054";"Indre Fosen";"1718"
"5037";"Levanger";"1719"
"5038";"Verdal";"1721"
"5006";"Steinkjer";"1724"
"5007";"Namsos - Nåavmesjenjaelmie";"1725"
"5041";"Snåase - Snåsa";"1736"
"5042";"Lierne";"1738"
"5043";"Raarvihke - Røyrvik";"1739"
