"kommunenummer_2018";"kommunenavn_2018";"kommunenummer_2019";"kommunenavn_2019";"endringsmerknad_18_19"
"0540";"Sør-Aurdal";"0540";"Sør-Aurdal";"uendret fra 2018 til 2019"
"0541";"Etnedal";"0541";"Etnedal";"uendret fra 2018 til 2019"
"0542";"Nord-Aurdal";"0542";"Nord-Aurdal";"uendret fra 2018 til 2019"
"0543";"Vestre Slidre";"0543";"Vestre Slidre";"uendret fra 2018 til 2019"
"0544";"Øystre Slidre";"0544";"Øystre Slidre";"uendret fra 2018 til 2019"
"0545";"Vang";"0545";"Vang";"uendret fra 2018 til 2019"
"0602";"Drammen";"0602";"Drammen";"uendret fra 2018 til 2019"
"0604";"Kongsberg";"0604";"Kongsberg";"uendret fra 2018 til 2019"
"0605";"Ringerike";"0605";"Ringerike";"uendret fra 2018 til 2019"
"0612";"Hole";"0612";"Hole";"uendret fra 2018 til 2019"
"0615";"Flå";"0615";"Flå";"uendret fra 2018 til 2019"
"0616";"Nes";"0616";"Nes";"uendret fra 2018 til 2019"
"0617";"Gol";"0617";"Gol";"uendret fra 2018 til 2019"
"0618";"Hemsedal";"0618";"Hemsedal";"uendret fra 2018 til 2019"
"0619";"Ål";"0619";"Ål";"uendret fra 2018 til 2019"
"0620";"Hol";"0620";"Hol";"uendret fra 2018 til 2019"
"0621";"Sigdal";"0621";"Sigdal";"uendret fra 2018 til 2019"
"0622";"Krødsherad";"0622";"Krødsherad";"uendret fra 2018 til 2019"
"0623";"Modum";"0623";"Modum";"uendret fra 2018 til 2019"
"0624";"Øvre Eiker";"0624";"Øvre Eiker";"uendret fra 2018 til 2019"
"0625";"Nedre Eiker";"0625";"Nedre Eiker";"uendret fra 2018 til 2019"
"0626";"Lier";"0626";"Lier";"uendret fra 2018 til 2019"
"0627";"Røyken";"0627";"Røyken";"uendret fra 2018 til 2019"
"0628";"Hurum";"0628";"Hurum";"uendret fra 2018 til 2019"
"0631";"Flesberg";"0631";"Flesberg";"uendret fra 2018 til 2019"
"0632";"Rollag";"0632";"Rollag";"uendret fra 2018 til 2019"
"0633";"Nore og Uvdal";"0633";"Nore og Uvdal";"uendret fra 2018 til 2019"
"0701";"Horten";"0701";"Horten";"uendret fra 2018 til 2019"
"0704";"Tønsberg";"0704";"Tønsberg";"uendret fra 2018 til 2019"
"0710";"Sandefjord";"0710";"Sandefjord";"uendret fra 2018 til 2019"
"0711";"Svelvik";"0711";"Svelvik";"uendret fra 2018 til 2019"
"0712";"Larvik";"0712";"Larvik";"uendret fra 2018 til 2019"
"0713";"Sande";"0713";"Sande";"uendret fra 2018 til 2019"
"0715";"Holmestrand";"0715";"Holmestrand";"uendret fra 2018 til 2019"
"0716";"Re";"0716";"Re";"uendret fra 2018 til 2019"
"0729";"Færder";"0729";"Færder";"uendret fra 2018 til 2019"
"0805";"Porsgrunn";"0805";"Porsgrunn";"uendret fra 2018 til 2019"
"0806";"Skien";"0806";"Skien";"uendret fra 2018 til 2019"
"0807";"Notodden";"0807";"Notodden";"uendret fra 2018 til 2019"
"0811";"Siljan";"0811";"Siljan";"uendret fra 2018 til 2019"
"0814";"Bamble";"0814";"Bamble";"uendret fra 2018 til 2019"
"0815";"Kragerø";"0815";"Kragerø";"uendret fra 2018 til 2019"
"0817";"Drangedal";"0817";"Drangedal";"uendret fra 2018 til 2019"
"0819";"Nome";"0819";"Nome";"uendret fra 2018 til 2019"
