"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"0301";"";"1";"Oslo";;""
"1101";"";"1";"Eigersund";;""
"1103";"";"1";"Stavanger";;""
"1106";"";"1";"Haugesund";;""
"1108";"";"1";"Sandnes";;""
"1111";"";"1";"Sokndal";;""
"1112";"";"1";"Lund";;""
"1114";"";"1";"Bjerkreim";;""
"1119";"";"1";"Hå";;""
"1120";"";"1";"Klepp";;""
"1121";"";"1";"Time";;""
"1122";"";"1";"Gjesdal";;""
"1124";"";"1";"Sola";;""
"1127";"";"1";"Randaberg";;""
"1130";"";"1";"Strand";;""
"1133";"";"1";"Hjelmeland";;""
"1134";"";"1";"Suldal";;""
"1135";"";"1";"Sauda";;""
"1144";"";"1";"Kvitsøy";;""
"1145";"";"1";"Bokn";;""
"1146";"";"1";"Tysvær";;""
"1149";"";"1";"Karmøy";;""
"1151";"";"1";"Utsira";;""
"1160";"";"1";"Vindafjord";;""
"1505";"";"1";"Kristiansund";;""
"1506";"";"1";"Molde";;""
"1507";"";"1";"Ålesund";;""
"1511";"";"1";"Vanylven";;""
"1514";"";"1";"Sande";;""
"1515";"";"1";"Herøy (Møre og Romsdal)";;""
"1516";"";"1";"Ulstein";;""
"1517";"";"1";"Hareid";;""
"1520";"";"1";"Ørsta";;""
"1525";"";"1";"Stranda";;""
"1528";"";"1";"Sykkylven";;""
"1531";"";"1";"Sula";;""
"1532";"";"1";"Giske";;""
"1535";"";"1";"Vestnes";;""
"1539";"";"1";"Rauma";;""
"1547";"";"1";"Aukra";;""
"1554";"";"1";"Averøy";;""
"1557";"";"1";"Gjemnes";;""
"1560";"";"1";"Tingvoll";;""
"1563";"";"1";"Sunndal";;""
"1566";"";"1";"Surnadal";;""
"1573";"";"1";"Smøla";;""
"1576";"";"1";"Aure";;""
"1577";"";"1";"Volda";;""
"1578";"";"1";"Fjord";;""
"1579";"";"1";"Hustadvika";;""
"1804";"";"1";"Bodø";;""
"1806";"";"1";"Narvik";;""
"1811";"";"1";"Bindal";;""
"1812";"";"1";"Sømna";;""
"1813";"";"1";"Brønnøy";;""
"1815";"";"1";"Vega";;""
"1816";"";"1";"Vevelstad";;""
"1818";"";"1";"Herøy (Nordland)";;""
"1820";"";"1";"Alstahaug";;""
"1822";"";"1";"Leirfjord";;""
"1824";"";"1";"Vefsn";;""
"1825";"";"1";"Grane";;""
