"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"0919";"";"1";"Froland";;""
"0926";"";"1";"Lillesand";;""
"0928";"";"1";"Birkenes";;""
"0929";"";"1";"Åmli";;""
"0935";"";"1";"Iveland";;""
"0937";"";"1";"Evje og Hornnes";;""
"0938";"";"1";"Bygland";;""
"0940";"";"1";"Valle";;""
"0941";"";"1";"Bykle";;""
"1001";"";"1";"Kristiansand";;""
"1002";"";"1";"Mandal";;""
"1003";"";"1";"Farsund";;""
"1004";"";"1";"Flekkefjord";;""
"1014";"";"1";"Vennesla";;""
"1017";"";"1";"Songdalen";;""
"1018";"";"1";"Søgne";;""
"1021";"";"1";"Marnardal";;""
"1026";"";"1";"Åseral";;""
"1027";"";"1";"Audnedal";;""
"1029";"";"1";"Lindesnes";;""
"1032";"";"1";"Lyngdal";;""
"1034";"";"1";"Hægebostad";;""
"1037";"";"1";"Kvinesdal";;""
"1046";"";"1";"Sirdal";;""
"1101";"";"1";"Eigersund";;""
"1102";"";"1";"Sandnes";;""
"1103";"";"1";"Stavanger";;""
"1106";"";"1";"Haugesund";;""
"1111";"";"1";"Sokndal";;""
"1112";"";"1";"Lund";;""
"1114";"";"1";"Bjerkreim";;""
"1119";"";"1";"Hå";;""
"1120";"";"1";"Klepp";;""
"1121";"";"1";"Time";;""
"1122";"";"1";"Gjesdal";;""
"1124";"";"1";"Sola";;""
"1127";"";"1";"Randaberg";;""
"1129";"";"1";"Forsand";;""
"1130";"";"1";"Strand";;""
"1133";"";"1";"Hjelmeland";;""
"1134";"";"1";"Suldal";;""
"1135";"";"1";"Sauda";;""
"1141";"";"1";"Finnøy";;""
"1142";"";"1";"Rennesøy";;""
"1144";"";"1";"Kvitsøy";;""
"1145";"";"1";"Bokn";;""
"1146";"";"1";"Tysvær";;""
"1149";"";"1";"Karmøy";;""
"1151";"";"1";"Utsira";;""
"1160";"";"1";"Vindafjord";;""
"1201";"";"1";"Bergen";;""
"1211";"";"1";"Etne";;""
"1216";"";"1";"Sveio";;""
"1219";"";"1";"Bømlo";;""
"1221";"";"1";"Stord";;""
"1222";"";"1";"Fitjar";;""
"1223";"";"1";"Tysnes";;""
"1224";"";"1";"Kvinnherad";;""
"1227";"";"1";"Jondal";;""
"1228";"";"1";"Odda";;""
"1231";"";"1";"Ullensvang";;""
"1232";"";"1";"Eidfjord";;""
"1233";"";"1";"Ulvik";;""
"1234";"";"1";"Granvin";;""
"1235";"";"1";"Voss";;""
"1238";"";"1";"Kvam";;""
"1241";"";"1";"Fusa";;""
"1242";"";"1";"Samnanger";;""
"1243";"";"1";"Os";;""
"1244";"";"1";"Austevoll";;""
"1245";"";"1";"Sund";;""
"1246";"";"1";"Fjell";;""
"1247";"";"1";"Askøy";;""
"1251";"";"1";"Vaksdal";;""
"1252";"";"1";"Modalen";;""
"1253";"";"1";"Osterøy";;""
"1256";"";"1";"Meland";;""
"1259";"";"1";"Øygarden";;""
"1260";"";"1";"Radøy";;""
"1263";"";"1";"Lindås";;""
"1264";"";"1";"Austrheim";;""
"1265";"";"1";"Fedje";;""
"1266";"";"1";"Masfjorden";;""
"1401";"";"1";"Flora";;""
"1411";"";"1";"Gulen";;""
"1412";"";"1";"Solund";;""
"1413";"";"1";"Hyllestad";;""
"1416";"";"1";"Høyanger";;""
"1417";"";"1";"Vik";;""
"1418";"";"1";"Balestrand";;""
"1419";"";"1";"Leikanger";;""
"1420";"";"1";"Sogndal";;""
"1421";"";"1";"Aurland";;""
"1422";"";"1";"Lærdal";;""
"1424";"";"1";"Årdal";;""
"1426";"";"1";"Luster";;""
"1428";"";"1";"Askvoll";;""
"1429";"";"1";"Fjaler";;""
"1430";"";"1";"Gaular";;""
"1431";"";"1";"Jølster";;""
"1432";"";"1";"Førde";;""
"1433";"";"1";"Naustdal";;""
"1438";"";"1";"Bremanger";;""
"1439";"";"1";"Vågsøy";;""
"1441";"";"1";"Selje";;""
"1443";"";"1";"Eid";;""
"1444";"";"1";"Hornindal";;""
"1445";"";"1";"Gloppen";;""
"1449";"";"1";"Stryn";;""
"1502";"";"1";"Molde";;""
"1504";"";"1";"Ålesund";;""
"1505";"";"1";"Kristiansund";;""
"1511";"";"1";"Vanylven";;""
"1514";"";"1";"Sande";;""
"1515";"";"1";"Herøy";;""
"1516";"";"1";"Ulstein";;""
"1517";"";"1";"Hareid";;""
"1519";"";"1";"Volda";;""
"1520";"";"1";"Ørsta";;""
"1523";"";"1";"Ørskog";;""
"1524";"";"1";"Norddal";;""
"1525";"";"1";"Stranda";;""
"1526";"";"1";"Stordal";;""
"1528";"";"1";"Sykkylven";;""
"1529";"";"1";"Skodje";;""
"1531";"";"1";"Sula";;""
"1532";"";"1";"Giske";;""
"1534";"";"1";"Haram";;""
"1535";"";"1";"Vestnes";;""
"1539";"";"1";"Rauma";;""
"1543";"";"1";"Nesset";;""
"1545";"";"1";"Midsund";;""
"1546";"";"1";"Sandøy";;""
"1547";"";"1";"Aukra";;""
"1548";"";"1";"Fræna";;""
"1551";"";"1";"Eide";;""
"1554";"";"1";"Averøy";;""
"1557";"";"1";"Gjemnes";;""
"1560";"";"1";"Tingvoll";;""
"1563";"";"1";"Sunndal";;""
"1566";"";"1";"Surnadal";;""
"1567";"";"1";"Rindal";;""
"1571";"";"1";"Halsa";;""
"1573";"";"1";"Smøla";;""
"1576";"";"1";"Aure";;""
"1601";"";"1";"Trondheim";;""
"1612";"";"1";"Hemne";;""
"1613";"";"1";"Snillfjord";;""
"1617";"";"1";"Hitra";;""
"1620";"";"1";"Frøya";;""
"1621";"";"1";"Ørland";;""
"1622";"";"1";"Agdenes";;""
"1624";"";"1";"Rissa";;""
"1627";"";"1";"Bjugn";;""
"1630";"";"1";"Åfjord";;""
"1632";"";"1";"Roan";;""
"1633";"";"1";"Osen";;""
"1634";"";"1";"Oppdal";;""
"1635";"";"1";"Rennebu";;""
"1636";"";"1";"Meldal";;""
"1638";"";"1";"Orkdal";;""
"1640";"";"1";"Røros";;""
"1644";"";"1";"Holtålen";;""
"1648";"";"1";"Midtre Gauldal";;""
"1653";"";"1";"Melhus";;""
"1657";"";"1";"Skaun";;""
"1662";"";"1";"Klæbu";;""
"1663";"";"1";"Malvik";;""
"1664";"";"1";"Selbu";;""
"1665";"";"1";"Tydal";;""
"1702";"";"1";"Steinkjer";;""
"1703";"";"1";"Namsos";;""
"1711";"";"1";"Meråker";;""
"1714";"";"1";"Stjørdal";;""
"1717";"";"1";"Frosta";;""
"1718";"";"1";"Leksvik";;""
"1719";"";"1";"Levanger";;""
"1721";"";"1";"Verdal";;""
"1724";"";"1";"Verran";;""
"1725";"";"1";"Namdalseid";;""
"1736";"";"1";"Snåase - Snåsa";;""
"1738";"";"1";"Lierne";;""
"1739";"";"1";"Raarvihke - Røyrvik";;"13. juni 2014 ble det vedtatt at  kommunenavnet skulle være tospråklig (samisk -norsk)"
"1740";"";"1";"Namsskogan";;""
"1742";"";"1";"Grong";;""
"1743";"";"1";"Høylandet";;""
"1744";"";"1";"Overhalla";;""
"1748";"";"1";"Fosnes";;""
"1749";"";"1";"Flatanger";;""
"1750";"";"1";"Vikna";;""
"1751";"";"1";"Nærøy";;""
"1755";"";"1";"Leka";;""
"1756";"";"1";"Inderøy";;""
"1804";"";"1";"Bodø";;""
"1805";"";"1";"Narvik";;""
"1811";"";"1";"Bindal";;""
"1812";"";"1";"Sømna";;""
"1813";"";"1";"Brønnøy";;""
"1815";"";"1";"Vega";;""
"1816";"";"1";"Vevelstad";;""
"1818";"";"1";"Herøy";;""
"1820";"";"1";"Alstahaug";;""
"1822";"";"1";"Leirfjord";;""
"1824";"";"1";"Vefsn";;""
"1825";"";"1";"Grane";;""
"1826";"";"1";"Hattfjelldal";;""
"1827";"";"1";"Dønna";;""
"1828";"";"1";"Nesna";;""
"1832";"";"1";"Hemnes";;""
"1833";"";"1";"Rana";;""
"1834";"";"1";"Lurøy";;""
"1835";"";"1";"Træna";;""
"1836";"";"1";"Rødøy";;""
"1837";"";"1";"Meløy";;""
"1838";"";"1";"Gildeskål";;""
"1839";"";"1";"Beiarn";;""
"1840";"";"1";"Saltdal";;""
"1841";"";"1";"Fauske - Fuossko";;"Tospråklig navn Fauske - Fuossko innført fra 1. 1. 2017. Før het kommunen Fauske.   "
"1845";"";"1";"Sørfold";;""
"1848";"";"1";"Steigen";;""
"1849";"";"1";"Hábmer - Hamarøy";;""
"1850";"";"1";"Tysfjord - Divtasvuodna";;""
"1851";"";"1";"Lødingen";;""
"1852";"";"1";"Tjeldsund";;""
"1853";"";"1";"Evenes";;""
"1854";"";"1";"Ballangen";;""
"1856";"";"1";"Røst";;""
"1857";"";"1";"Værøy";;""
"1859";"";"1";"Flakstad";;""
"1860";"";"1";"Vestvågøy";;""
"1865";"";"1";"Vågan";;""
"1866";"";"1";"Hadsel";;""
"1867";"";"1";"Bø";;""
"1868";"";"1";"Øksnes";;""
"1870";"";"1";"Sortland";;""
"1871";"";"1";"Andøy";;""
"1874";"";"1";"Moskenes";;""
"1902";"";"1";"Tromsø";;""
"1903";"";"1";"Harstad";;""
"1911";"";"1";"Kvæfjord";;""
"1913";"";"1";"Skånland";;""
"1917";"";"1";"Ibestad";;""
"1919";"";"1";"Gratangen";;""
"1920";"";"1";"Loabák - Lavangen";;""
"1922";"";"1";"Bardu";;""
"1923";"";"1";"Salangen";;""
"1924";"";"1";"Målselv";;""
"1925";"";"1";"Sørreisa";;""
"1926";"";"1";"Dyrøy";;""
"1927";"";"1";"Tranøy";;""
"1928";"";"1";"Torsken";;""
