"kommunenummer_2019";"kommunenavn_2019";"kommunenummer_2020";"kommunenavn_2020";"endringsmerknad_19_20"
"0101";"Halden";"3001";"Halden";"kun endret nummer fra 2019 til 2020"
"0104";"Moss";"3002";"Moss";"slått sammen fra 2019 til 2020"
"0105";"Sarpsborg";"3003";"Sarpsborg";"kun endret nummer fra 2019 til 2020"
"0106";"Fredrikstad";"3004";"Fredrikstad";"kun endret nummer fra 2019 til 2020"
"0111";"Hvaler";"3011";"Hvaler";"kun endret nummer fra 2019 til 2020"
"0118";"Aremark";"3012";"Aremark";"kun endret nummer fra 2019 til 2020"
"0119";"Marker";"3013";"Marker";"kun endret nummer fra 2019 til 2020"
"0121";"Rømskog";"3026";"Aurskog-Høland";"slått sammen fra 2019 til 2020"
"0122";"Trøgstad";"3014";"Indre Østfold";"slått sammen fra 2019 til 2020"
"0123";"Spydeberg";"3014";"Indre Østfold";"slått sammen fra 2019 til 2020"
"0124";"Askim";"3014";"Indre Østfold";"slått sammen fra 2019 til 2020"
"0125";"Eidsberg";"3014";"Indre Østfold";"slått sammen fra 2019 til 2020"
"0127";"Skiptvet";"3015";"Skiptvet";"kun endret nummer fra 2019 til 2020"
"0128";"Rakkestad";"3016";"Rakkestad";"kun endret nummer fra 2019 til 2020"
"0135";"Råde";"3017";"Råde";"kun endret nummer fra 2019 til 2020"
"0136";"Rygge";"3002";"Moss";"slått sammen fra 2019 til 2020"
"0137";"Våler";"3018";"Våler (Viken)";"kun endret nummer fra 2019 til 2020"
"0138";"Hobøl";"3014";"Indre Østfold";"slått sammen fra 2019 til 2020"
"0211";"Vestby";"3019";"Vestby";"kun endret nummer fra 2019 til 2020"
"0213";"Ski";"3020";"Nordre Follo";"slått sammen fra 2019 til 2020"
"0214";"Ås";"3021";"Ås";"kun endret nummer fra 2019 til 2020"
"0215";"Frogn";"3022";"Frogn";"kun endret nummer fra 2019 til 2020"
"0216";"Nesodden";"3023";"Nesodden";"kun endret nummer fra 2019 til 2020"
"0217";"Oppegård";"3020";"Nordre Follo";"slått sammen fra 2019 til 2020"
"0219";"Bærum";"3024";"Bærum";"kun endret nummer fra 2019 til 2020"
"0220";"Asker";"3025";"Asker";"slått sammen fra 2019 til 2020"
"0221";"Aurskog-Høland";"3026";"Aurskog-Høland";"slått sammen fra 2019 til 2020"
"0226";"Sørum";"3030";"Lillestrøm";"slått sammen fra 2019 til 2020"
"0227";"Fet";"3030";"Lillestrøm";"slått sammen fra 2019 til 2020"
"0228";"Rælingen";"3027";"Rælingen";"kun endret nummer fra 2019 til 2020"
"0229";"Enebakk";"3028";"Enebakk";"kun endret nummer fra 2019 til 2020"
"0230";"Lørenskog";"3029";"Lørenskog";"kun endret nummer fra 2019 til 2020"
"0231";"Skedsmo";"3030";"Lillestrøm";"slått sammen fra 2019 til 2020"
"0233";"Nittedal";"3031";"Nittedal";"kun endret nummer fra 2019 til 2020"
"0234";"Gjerdrum";"3032";"Gjerdrum";"kun endret nummer fra 2019 til 2020"
"0235";"Ullensaker";"3033";"Ullensaker";"kun endret nummer fra 2019 til 2020"
"0236";"Nes";"3034";"Nes";"kun endret nummer fra 2019 til 2020"
"0237";"Eidsvoll";"3035";"Eidsvoll";"kun endret nummer fra 2019 til 2020"
"0238";"Nannestad";"3036";"Nannestad";"kun endret nummer fra 2019 til 2020"
"0239";"Hurdal";"3037";"Hurdal";"kun endret nummer fra 2019 til 2020"
"0301";"Oslo";"0301";"Oslo";"uendret fra 2019 til 2020"
"0402";"Kongsvinger";"3401";"Kongsvinger";"kun endret nummer fra 2019 til 2020"
"0403";"Hamar";"3403";"Hamar";"kun endret nummer fra 2019 til 2020"
"0412";"Ringsaker";"3411";"Ringsaker";"kun endret nummer fra 2019 til 2020"
"0415";"Løten";"3412";"Løten";"kun endret nummer fra 2019 til 2020"
"0417";"Stange";"3413";"Stange";"kun endret nummer fra 2019 til 2020"
"0418";"Nord-Odal";"3414";"Nord-Odal";"kun endret nummer fra 2019 til 2020"
"0419";"Sør-Odal";"3415";"Sør-Odal";"kun endret nummer fra 2019 til 2020"
"0420";"Eidskog";"3416";"Eidskog";"kun endret nummer fra 2019 til 2020"
"0423";"Grue";"3417";"Grue";"kun endret nummer fra 2019 til 2020"
"0425";"Åsnes";"3418";"Åsnes";"kun endret nummer fra 2019 til 2020"
"0426";"Våler";"3419";"Våler (Innlandet)";"kun endret nummer fra 2019 til 2020"
"0427";"Elverum";"3420";"Elverum";"kun endret nummer fra 2019 til 2020"
"0428";"Trysil";"3421";"Trysil";"kun endret nummer fra 2019 til 2020"
"0429";"Åmot";"3422";"Åmot";"kun endret nummer fra 2019 til 2020"
"0430";"Stor-Elvdal";"3423";"Stor-Elvdal";"kun endret nummer fra 2019 til 2020"
"0432";"Rendalen";"3424";"Rendalen";"kun endret nummer fra 2019 til 2020"
"0434";"Engerdal";"3425";"Engerdal";"kun endret nummer fra 2019 til 2020"
"0436";"Tolga";"3426";"Tolga";"kun endret nummer fra 2019 til 2020"
"0437";"Tynset";"3427";"Tynset";"kun endret nummer fra 2019 til 2020"
"0438";"Alvdal";"3428";"Alvdal";"kun endret nummer fra 2019 til 2020"
"0439";"Folldal";"3429";"Folldal";"kun endret nummer fra 2019 til 2020"
"0441";"Os";"3430";"Os";"kun endret nummer fra 2019 til 2020"
"0501";"Lillehammer";"3405";"Lillehammer";"kun endret nummer fra 2019 til 2020"
"0502";"Gjøvik";"3407";"Gjøvik";"kun endret nummer fra 2019 til 2020"
"0511";"Dovre";"3431";"Dovre";"kun endret nummer fra 2019 til 2020"
"0512";"Lesja";"3432";"Lesja";"kun endret nummer fra 2019 til 2020"
"0513";"Skjåk";"3433";"Skjåk";"kun endret nummer fra 2019 til 2020"
"0514";"Lom";"3434";"Lom";"kun endret nummer fra 2019 til 2020"
"0515";"Vågå";"3435";"Vågå";"kun endret nummer fra 2019 til 2020"
"0516";"Nord-Fron";"3436";"Nord-Fron";"kun endret nummer fra 2019 til 2020"
"0517";"Sel";"3437";"Sel";"kun endret nummer fra 2019 til 2020"
"0519";"Sør-Fron";"3438";"Sør-Fron";"kun endret nummer fra 2019 til 2020"
"0520";"Ringebu";"3439";"Ringebu";"kun endret nummer fra 2019 til 2020"
"0521";"Øyer";"3440";"Øyer";"kun endret nummer fra 2019 til 2020"
"0522";"Gausdal";"3441";"Gausdal";"kun endret nummer fra 2019 til 2020"
"0528";"Østre Toten";"3442";"Østre Toten";"kun endret nummer fra 2019 til 2020"
"0529";"Vestre Toten";"3443";"Vestre Toten";"kun endret nummer fra 2019 til 2020"
"0532";"Jevnaker";"3053";"Jevnaker";"kun endret nummer fra 2019 til 2020"
"0533";"Lunner";"3054";"Lunner";"kun endret nummer fra 2019 til 2020"
"0534";"Gran";"3446";"Gran";"kun endret nummer fra 2019 til 2020"
"0536";"Søndre Land";"3447";"Søndre Land";"kun endret nummer fra 2019 til 2020"
"0538";"Nordre Land";"3448";"Nordre Land";"kun endret nummer fra 2019 til 2020"
"0540";"Sør-Aurdal";"3449";"Sør-Aurdal";"kun endret nummer fra 2019 til 2020"
"0541";"Etnedal";"3450";"Etnedal";"kun endret nummer fra 2019 til 2020"
"0542";"Nord-Aurdal";"3451";"Nord-Aurdal";"kun endret nummer fra 2019 til 2020"
