"kommunenummer_2019";"kommunenavn_2019";"kommunenummer_2020";"kommunenavn_2020";"endringsmerknad_19_20"
"0543";"Vestre Slidre";"3452";"Vestre Slidre";"kun endret nummer fra 2019 til 2020"
"0544";"Øystre Slidre";"3453";"Øystre Slidre";"kun endret nummer fra 2019 til 2020"
"0545";"Vang";"3454";"Vang";"kun endret nummer fra 2019 til 2020"
"0602";"Drammen";"3005";"Drammen";"slått sammen fra 2019 til 2020"
"0604";"Kongsberg";"3006";"Kongsberg";"kun endret nummer fra 2019 til 2020"
"0605";"Ringerike";"3007";"Ringerike";"kun endret nummer fra 2019 til 2020"
"0612";"Hole";"3038";"Hole";"kun endret nummer fra 2019 til 2020"
"0615";"Flå";"3039";"Flå";"kun endret nummer fra 2019 til 2020"
"0616";"Nes";"3040";"Nesbyen";"kun endret nummer fra 2019 til 2020"
"0617";"Gol";"3041";"Gol";"kun endret nummer fra 2019 til 2020"
"0618";"Hemsedal";"3042";"Hemsedal";"kun endret nummer fra 2019 til 2020"
"0619";"Ål";"3043";"Ål";"kun endret nummer fra 2019 til 2020"
"0620";"Hol";"3044";"Hol";"kun endret nummer fra 2019 til 2020"
"0621";"Sigdal";"3045";"Sigdal";"kun endret nummer fra 2019 til 2020"
"0622";"Krødsherad";"3046";"Krødsherad";"kun endret nummer fra 2019 til 2020"
"0623";"Modum";"3047";"Modum";"kun endret nummer fra 2019 til 2020"
"0624";"Øvre Eiker";"3048";"Øvre Eiker";"kun endret nummer fra 2019 til 2020"
"0625";"Nedre Eiker";"3005";"Drammen";"slått sammen fra 2019 til 2020"
"0626";"Lier";"3049";"Lier";"kun endret nummer fra 2019 til 2020"
"0627";"Røyken";"3025";"Asker";"slått sammen fra 2019 til 2020"
"0628";"Hurum";"3025";"Asker";"slått sammen fra 2019 til 2020"
"0631";"Flesberg";"3050";"Flesberg";"kun endret nummer fra 2019 til 2020"
"0632";"Rollag";"3051";"Rollag";"kun endret nummer fra 2019 til 2020"
"0633";"Nore og Uvdal";"3052";"Nore og Uvdal";"kun endret nummer fra 2019 til 2020"
"0701";"Horten";"3801";"Horten";"kun endret nummer fra 2019 til 2020"
"0704";"Tønsberg";"3803";"Tønsberg";"slått sammen fra 2019 til 2020"
"0710";"Sandefjord";"3804";"Sandefjord";"kun endret nummer fra 2019 til 2020"
"0711";"Svelvik";"3005";"Drammen";"slått sammen fra 2019 til 2020"
"0712";"Larvik";"3805";"Larvik";"kun endret nummer fra 2019 til 2020"
"0713";"Sande";"3802";"Holmestrand";"slått sammen fra 2019 til 2020"
"0715";"Holmestrand";"3802";"Holmestrand";"slått sammen fra 2019 til 2020"
"0716";"Re";"3803";"Tønsberg";"slått sammen fra 2019 til 2020"
"0729";"Færder";"3811";"Færder";"kun endret nummer fra 2019 til 2020"
"0805";"Porsgrunn";"3806";"Porsgrunn";"kun endret nummer fra 2019 til 2020"
"0806";"Skien";"3807";"Skien";"kun endret nummer fra 2019 til 2020"
"0807";"Notodden";"3808";"Notodden";"kun endret nummer fra 2019 til 2020"
"0811";"Siljan";"3812";"Siljan";"kun endret nummer fra 2019 til 2020"
"0814";"Bamble";"3813";"Bamble";"kun endret nummer fra 2019 til 2020"
"0815";"Kragerø";"3814";"Kragerø";"kun endret nummer fra 2019 til 2020"
"0817";"Drangedal";"3815";"Drangedal";"kun endret nummer fra 2019 til 2020"
"0819";"Nome";"3816";"Nome";"kun endret nummer fra 2019 til 2020"
"0821";"Bø";"3817";"Midt-Telemark";"slått sammen fra 2019 til 2020"
"0822";"Sauherad";"3817";"Midt-Telemark";"slått sammen fra 2019 til 2020"
"0826";"Tinn";"3818";"Tinn";"kun endret nummer fra 2019 til 2020"
"0827";"Hjartdal";"3819";"Hjartdal";"kun endret nummer fra 2019 til 2020"
"0828";"Seljord";"3820";"Seljord";"kun endret nummer fra 2019 til 2020"
"0829";"Kviteseid";"3821";"Kviteseid";"kun endret nummer fra 2019 til 2020"
"0830";"Nissedal";"3822";"Nissedal";"kun endret nummer fra 2019 til 2020"
"0831";"Fyresdal";"3823";"Fyresdal";"kun endret nummer fra 2019 til 2020"
"0833";"Tokke";"3824";"Tokke";"kun endret nummer fra 2019 til 2020"
"0834";"Vinje";"3825";"Vinje";"kun endret nummer fra 2019 til 2020"
"0901";"Risør";"4201";"Risør";"kun endret nummer fra 2019 til 2020"
"0904";"Grimstad";"4202";"Grimstad";"kun endret nummer fra 2019 til 2020"
"0906";"Arendal";"4203";"Arendal";"kun endret nummer fra 2019 til 2020"
"0911";"Gjerstad";"4211";"Gjerstad";"kun endret nummer fra 2019 til 2020"
"0912";"Vegårshei";"4212";"Vegårshei";"kun endret nummer fra 2019 til 2020"
"0914";"Tvedestrand";"4213";"Tvedestrand";"kun endret nummer fra 2019 til 2020"
"0919";"Froland";"4214";"Froland";"kun endret nummer fra 2019 til 2020"
"0926";"Lillesand";"4215";"Lillesand";"kun endret nummer fra 2019 til 2020"
"0928";"Birkenes";"4216";"Birkenes";"kun endret nummer fra 2019 til 2020"
"0929";"Åmli";"4217";"Åmli";"kun endret nummer fra 2019 til 2020"
"0935";"Iveland";"4218";"Iveland";"kun endret nummer fra 2019 til 2020"
"0937";"Evje og Hornnes";"4219";"Evje og Hornnes";"kun endret nummer fra 2019 til 2020"
"0938";"Bygland";"4220";"Bygland";"kun endret nummer fra 2019 til 2020"
"0940";"Valle";"4221";"Valle";"kun endret nummer fra 2019 til 2020"
"0941";"Bykle";"4222";"Bykle";"kun endret nummer fra 2019 til 2020"
"1001";"Kristiansand";"4204";"Kristiansand";"slått sammen fra 2019 til 2020"
"1002";"Mandal";"4205";"Lindesnes";"slått sammen fra 2019 til 2020"
"1003";"Farsund";"4206";"Farsund";"kun endret nummer fra 2019 til 2020"
"1004";"Flekkefjord";"4207";"Flekkefjord";"kun endret nummer fra 2019 til 2020"
"1014";"Vennesla";"4223";"Vennesla";"kun endret nummer fra 2019 til 2020"
"1017";"Songdalen";"4204";"Kristiansand";"slått sammen fra 2019 til 2020"
"1018";"Søgne";"4204";"Kristiansand";"slått sammen fra 2019 til 2020"
"1021";"Marnardal";"4205";"Lindesnes";"slått sammen fra 2019 til 2020"
"1026";"Åseral";"4224";"Åseral";"kun endret nummer fra 2019 til 2020"
"1027";"Audnedal";"4225";"Lyngdal";"slått sammen fra 2019 til 2020"
"1029";"Lindesnes";"4205";"Lindesnes";"slått sammen fra 2019 til 2020"
"1032";"Lyngdal";"4225";"Lyngdal";"slått sammen fra 2019 til 2020"
"1034";"Hægebostad";"4226";"Hægebostad";"kun endret nummer fra 2019 til 2020"
"1037";"Kvinesdal";"4227";"Kvinesdal";"kun endret nummer fra 2019 til 2020"
"1046";"Sirdal";"4228";"Sirdal";"kun endret nummer fra 2019 til 2020"
"1101";"Eigersund";"1101";"Eigersund";"uendret fra 2019 til 2020"
"1102";"Sandnes";"1108";"Sandnes";"slått sammen fra 2019 til 2020"
"1103";"Stavanger";"1103";"Stavanger";"slått sammen fra 2019 til 2020"
"1106";"Haugesund";"1106";"Haugesund";"uendret fra 2019 til 2020"
"1111";"Sokndal";"1111";"Sokndal";"uendret fra 2019 til 2020"
"1112";"Lund";"1112";"Lund";"uendret fra 2019 til 2020"
"1114";"Bjerkreim";"1114";"Bjerkreim";"uendret fra 2019 til 2020"
"1119";"Hå";"1119";"Hå";"uendret fra 2019 til 2020"
"1120";"Klepp";"1120";"Klepp";"uendret fra 2019 til 2020"
"1121";"Time";"1121";"Time";"uendret fra 2019 til 2020"
"1122";"Gjesdal";"1122";"Gjesdal";"uendret fra 2019 til 2020"
"1124";"Sola";"1124";"Sola";"uendret fra 2019 til 2020"
"1127";"Randaberg";"1127";"Randaberg";"uendret fra 2019 til 2020"
"1129";"Forsand";"1108";"Sandnes";"slått sammen fra 2019 til 2020"
"1130";"Strand";"1130";"Strand";"uendret fra 2019 til 2020"
"1133";"Hjelmeland";"1133";"Hjelmeland";"uendret fra 2019 til 2020"
"1134";"Suldal";"1134";"Suldal";"uendret fra 2019 til 2020"
"1135";"Sauda";"1135";"Sauda";"uendret fra 2019 til 2020"
"1141";"Finnøy";"1103";"Stavanger";"slått sammen fra 2019 til 2020"
"1142";"Rennesøy";"1103";"Stavanger";"slått sammen fra 2019 til 2020"
"1144";"Kvitsøy";"1144";"Kvitsøy";"uendret fra 2019 til 2020"
"1145";"Bokn";"1145";"Bokn";"uendret fra 2019 til 2020"
"1146";"Tysvær";"1146";"Tysvær";"uendret fra 2019 til 2020"
"1149";"Karmøy";"1149";"Karmøy";"uendret fra 2019 til 2020"
"1151";"Utsira";"1151";"Utsira";"uendret fra 2019 til 2020"
"1160";"Vindafjord";"1160";"Vindafjord";"uendret fra 2019 til 2020"
"1201";"Bergen";"4601";"Bergen";"kun endret nummer fra 2019 til 2020"
"1211";"Etne";"4611";"Etne";"kun endret nummer fra 2019 til 2020"
"1216";"Sveio";"4612";"Sveio";"kun endret nummer fra 2019 til 2020"
"1219";"Bømlo";"4613";"Bømlo";"kun endret nummer fra 2019 til 2020"
"1221";"Stord";"4614";"Stord";"kun endret nummer fra 2019 til 2020"
"1222";"Fitjar";"4615";"Fitjar";"kun endret nummer fra 2019 til 2020"
"1223";"Tysnes";"4616";"Tysnes";"kun endret nummer fra 2019 til 2020"
"1224";"Kvinnherad";"4617";"Kvinnherad";"kun endret nummer fra 2019 til 2020"
"1227";"Jondal";"4618";"Ullensvang";"slått sammen fra 2019 til 2020"
"1228";"Odda";"4618";"Ullensvang";"slått sammen fra 2019 til 2020"
"1231";"Ullensvang";"4618";"Ullensvang";"slått sammen fra 2019 til 2020"
"1232";"Eidfjord";"4619";"Eidfjord";"kun endret nummer fra 2019 til 2020"
"1233";"Ulvik";"4620";"Ulvik";"kun endret nummer fra 2019 til 2020"
"1234";"Granvin";"4621";"Voss";"slått sammen fra 2019 til 2020"
"1235";"Voss";"4621";"Voss";"slått sammen fra 2019 til 2020"
"1238";"Kvam";"4622";"Kvam";"kun endret nummer fra 2019 til 2020"
"1241";"Fusa";"4624";"Bjørnafjorden";"slått sammen fra 2019 til 2020"
"1242";"Samnanger";"4623";"Samnanger";"kun endret nummer fra 2019 til 2020"
"1243";"Os";"4624";"Bjørnafjorden";"slått sammen fra 2019 til 2020"
"1244";"Austevoll";"4625";"Austevoll";"kun endret nummer fra 2019 til 2020"
"1245";"Sund";"4626";"Øygarden";"slått sammen fra 2019 til 2020"
"1246";"Fjell";"4626";"Øygarden";"slått sammen fra 2019 til 2020"
"1247";"Askøy";"4627";"Askøy";"kun endret nummer fra 2019 til 2020"
"1251";"Vaksdal";"4628";"Vaksdal";"kun endret nummer fra 2019 til 2020"
"1252";"Modalen";"4629";"Modalen";"kun endret nummer fra 2019 til 2020"
"1253";"Osterøy";"4630";"Osterøy";"kun endret nummer fra 2019 til 2020"
"1256";"Meland";"4631";"Alver";"slått sammen fra 2019 til 2020"
"1259";"Øygarden";"4626";"Øygarden";"slått sammen fra 2019 til 2020"
"1260";"Radøy";"4631";"Alver";"slått sammen fra 2019 til 2020"
"1263";"Lindås";"4631";"Alver";"slått sammen fra 2019 til 2020"
"1264";"Austrheim";"4632";"Austrheim";"kun endret nummer fra 2019 til 2020"
"1265";"Fedje";"4633";"Fedje";"kun endret nummer fra 2019 til 2020"
"1266";"Masfjorden";"4634";"Masfjorden";"kun endret nummer fra 2019 til 2020"
"1401";"Flora";"4602";"Kinn";"slått sammen fra 2019 til 2020"
"1411";"Gulen";"4635";"Gulen";"kun endret nummer fra 2019 til 2020"
"1412";"Solund";"4636";"Solund";"kun endret nummer fra 2019 til 2020"
"1413";"Hyllestad";"4637";"Hyllestad";"kun endret nummer fra 2019 til 2020"
"1416";"Høyanger";"4638";"Høyanger";"kun endret nummer fra 2019 til 2020"
"1417";"Vik";"4639";"Vik";"kun endret nummer fra 2019 til 2020"
"1418";"Balestrand";"4640";"Sogndal";"slått sammen fra 2019 til 2020"
"1419";"Leikanger";"4640";"Sogndal";"slått sammen fra 2019 til 2020"
"1420";"Sogndal";"4640";"Sogndal";"slått sammen fra 2019 til 2020"
"1421";"Aurland";"4641";"Aurland";"kun endret nummer fra 2019 til 2020"
"1422";"Lærdal";"4642";"Lærdal";"kun endret nummer fra 2019 til 2020"
"1424";"Årdal";"4643";"Årdal";"kun endret nummer fra 2019 til 2020"
"1426";"Luster";"4644";"Luster";"kun endret nummer fra 2019 til 2020"
"1428";"Askvoll";"4645";"Askvoll";"kun endret nummer fra 2019 til 2020"
"1429";"Fjaler";"4646";"Fjaler";"kun endret nummer fra 2019 til 2020"
"1430";"Gaular";"4647";"Sunnfjord";"slått sammen fra 2019 til 2020"
"1431";"Jølster";"4647";"Sunnfjord";"slått sammen fra 2019 til 2020"
"1432";"Førde";"4647";"Sunnfjord";"slått sammen fra 2019 til 2020"
"1433";"Naustdal";"4647";"Sunnfjord";"slått sammen fra 2019 til 2020"
"1438";"Bremanger";"4648";"Bremanger";"kun endret nummer fra 2019 til 2020"
"1439";"Vågsøy";"4602";"Kinn";"slått sammen fra 2019 til 2020"
"1441";"Selje";"4649";"Stad";"slått sammen fra 2019 til 2020"
"1443";"Eid";"4649";"Stad";"slått sammen fra 2019 til 2020"
"1444";"Hornindal";"1577";"Volda";"slått sammen fra 2019 til 2020"
"1445";"Gloppen";"4650";"Gloppen";"kun endret nummer fra 2019 til 2020"
"1449";"Stryn";"4651";"Stryn";"kun endret nummer fra 2019 til 2020"
"1502";"Molde";"1506";"Molde";"slått sammen fra 2019 til 2020"
"1504";"Ålesund";"1507";"Ålesund";"slått sammen fra 2019 til 2020"
"1505";"Kristiansund";"1505";"Kristiansund";"uendret fra 2019 til 2020"
"1511";"Vanylven";"1511";"Vanylven";"uendret fra 2019 til 2020"
"1514";"Sande";"1514";"Sande";"uendret fra 2019 til 2020"
"1515";"Herøy";"1515";"Herøy (Møre og Romsdal)";"uendret fra 2019 til 2020"
"1516";"Ulstein";"1516";"Ulstein";"uendret fra 2019 til 2020"
"1517";"Hareid";"1517";"Hareid";"uendret fra 2019 til 2020"
"1519";"Volda";"1577";"Volda";"slått sammen fra 2019 til 2020"
"1520";"Ørsta";"1520";"Ørsta";"uendret fra 2019 til 2020"
"1523";"Ørskog";"1507";"Ålesund";"slått sammen fra 2019 til 2020"
"1524";"Norddal";"1578";"Fjord";"slått sammen fra 2019 til 2020"
"1525";"Stranda";"1525";"Stranda";"uendret fra 2019 til 2020"
"1526";"Stordal";"1578";"Fjord";"slått sammen fra 2019 til 2020"
"1528";"Sykkylven";"1528";"Sykkylven";"uendret fra 2019 til 2020"
"1529";"Skodje";"1507";"Ålesund";"slått sammen fra 2019 til 2020"
"1531";"Sula";"1531";"Sula";"uendret fra 2019 til 2020"
"1532";"Giske";"1532";"Giske";"uendret fra 2019 til 2020"
"1534";"Haram";"1507";"Ålesund";"slått sammen fra 2019 til 2020"
"1535";"Vestnes";"1535";"Vestnes";"uendret fra 2019 til 2020"
"1539";"Rauma";"1539";"Rauma";"uendret fra 2019 til 2020"
"1543";"Nesset";"1506";"Molde";"slått sammen fra 2019 til 2020"
"1545";"Midsund";"1506";"Molde";"slått sammen fra 2019 til 2020"
"1546";"Sandøy";"1507";"Ålesund";"slått sammen fra 2019 til 2020"
"1547";"Aukra";"1547";"Aukra";"uendret fra 2019 til 2020"
"1548";"Fræna";"1579";"Hustadvika";"slått sammen fra 2019 til 2020"
"1551";"Eide";"1579";"Hustadvika";"slått sammen fra 2019 til 2020"
"1554";"Averøy";"1554";"Averøy";"uendret fra 2019 til 2020"
"1557";"Gjemnes";"1557";"Gjemnes";"uendret fra 2019 til 2020"
"1560";"Tingvoll";"1560";"Tingvoll";"uendret fra 2019 til 2020"
"1563";"Sunndal";"1563";"Sunndal";"uendret fra 2019 til 2020"
"1566";"Surnadal";"1566";"Surnadal";"uendret fra 2019 til 2020"
"1571";"Halsa";"5055";"Heim";"slått sammen fra 2019 til 2020"
"1573";"Smøla";"1573";"Smøla";"uendret fra 2019 til 2020"
"1576";"Aure";"1576";"Aure";"uendret fra 2019 til 2020"
"1804";"Bodø";"1804";"Bodø";"uendret fra 2019 til 2020"
"1805";"Narvik";"1806";"Narvik";"slått sammen fra 2019 til 2020"
"1811";"Bindal";"1811";"Bindal";"uendret fra 2019 til 2020"
"1812";"Sømna";"1812";"Sømna";"uendret fra 2019 til 2020"
"1813";"Brønnøy";"1813";"Brønnøy";"uendret fra 2019 til 2020"
"1815";"Vega";"1815";"Vega";"uendret fra 2019 til 2020"
"1816";"Vevelstad";"1816";"Vevelstad";"uendret fra 2019 til 2020"
"1818";"Herøy";"1818";"Herøy (Nordland)";"uendret fra 2019 til 2020"
"1820";"Alstahaug";"1820";"Alstahaug";"uendret fra 2019 til 2020"
"1822";"Leirfjord";"1822";"Leirfjord";"uendret fra 2019 til 2020"
"1824";"Vefsn";"1824";"Vefsn";"uendret fra 2019 til 2020"
"1825";"Grane";"1825";"Grane";"uendret fra 2019 til 2020"
"1826";"Hattfjelldal";"1826";"Aarborte - Hattfjelldal";"uendret fra 2019 til 2020"
"1827";"Dønna";"1827";"Dønna";"uendret fra 2019 til 2020"
"1828";"Nesna";"1828";"Nesna";"uendret fra 2019 til 2020"
"1832";"Hemnes";"1832";"Hemnes";"uendret fra 2019 til 2020"
"1833";"Rana";"1833";"Rana";"uendret fra 2019 til 2020"
"1834";"Lurøy";"1834";"Lurøy";"uendret fra 2019 til 2020"
"1835";"Træna";"1835";"Træna";"uendret fra 2019 til 2020"
"1836";"Rødøy";"1836";"Rødøy";"uendret fra 2019 til 2020"
"1837";"Meløy";"1837";"Meløy";"uendret fra 2019 til 2020"
"1838";"Gildeskål";"1838";"Gildeskål";"uendret fra 2019 til 2020"
"1839";"Beiarn";"1839";"Beiarn";"uendret fra 2019 til 2020"
"1840";"Saltdal";"1840";"Saltdal";"uendret fra 2019 til 2020"
"1841";"Fauske - Fuossko";"1841";"Fauske - Fuossko";"uendret fra 2019 til 2020"
"1845";"Sørfold";"1845";"Sørfold";"uendret fra 2019 til 2020"
"1848";"Steigen";"1848";"Steigen";"uendret fra 2019 til 2020"
"1849";"Hábmer - Hamarøy";"1875";"Hábmer - Hamarøy";"slått sammen fra 2019 til 2020"
"1850";"Tysfjord - Divtasvuodna";"1806";"Narvik";"slått sammen fra 2019 til 2020 - splittet fra 2019 til 2020"
"1850";"Tysfjord - Divtasvuodna";"1875";"Hábmer - Hamarøy";"slått sammen fra 2019 til 2020 - splittet fra 2019 til 2020"
"1851";"Lødingen";"1851";"Lødingen";"uendret fra 2019 til 2020"
"1852";"Dielddanuorri - Tjeldsund";"5412";"Dielddanuorri - Tjeldsund";"slått sammen fra 2019 til 2020"
"1853";"Evenes";"1853";"Evenes";"uendret fra 2019 til 2020"
"1854";"Ballangen";"1806";"Narvik";"slått sammen fra 2019 til 2020"
"1856";"Røst";"1856";"Røst";"uendret fra 2019 til 2020"
"1857";"Værøy";"1857";"Værøy";"uendret fra 2019 til 2020"
"1859";"Flakstad";"1859";"Flakstad";"uendret fra 2019 til 2020"
"1860";"Vestvågøy";"1860";"Vestvågøy";"uendret fra 2019 til 2020"
"1865";"Vågan";"1865";"Vågan";"uendret fra 2019 til 2020"
"1866";"Hadsel";"1866";"Hadsel";"uendret fra 2019 til 2020"
"1867";"Bø";"1867";"Bø";"uendret fra 2019 til 2020"
"1868";"Øksnes";"1868";"Øksnes";"uendret fra 2019 til 2020"
"1870";"Sortland - Suortá";"1870";"Sortland - Suortá";"uendret fra 2019 til 2020"
"1871";"Andøy";"1871";"Andøy";"uendret fra 2019 til 2020"
"1874";"Moskenes";"1874";"Moskenes";"uendret fra 2019 til 2020"
"1902";"Tromsø";"5401";"Tromsø";"kun endret nummer fra 2019 til 2020"
"1903";"Harstad - Hárstták";"5402";"Harstad - Hárstták";"kun endret nummer fra 2019 til 2020"
"1911";"Kvæfjord";"5411";"Kvæfjord";"kun endret nummer fra 2019 til 2020"
"1913";"Skånland";"5412";"Dielddanuorri - Tjeldsund";"slått sammen fra 2019 til 2020"
"1917";"Ibestad";"5413";"Ibestad";"kun endret nummer fra 2019 til 2020"
"1919";"Gratangen";"5414";"Gratangen";"kun endret nummer fra 2019 til 2020"
"1920";"Loabák - Lavangen";"5415";"Loabák - Lavangen";"kun endret nummer fra 2019 til 2020"
"1922";"Bardu";"5416";"Bardu";"kun endret nummer fra 2019 til 2020"
"1923";"Salangen";"5417";"Salangen";"kun endret nummer fra 2019 til 2020"
