kommuner_2019;kommuner_2020;splittes
0928 - Birkenes;4216 - Birkenes;0
0929 - Åmli;4217 - Åmli;0
0935 - Iveland;4218 - Iveland;0
0937 - Evje og Hornnes;4219 - Evje og Hornnes;0
0938 - Bygland;4220 - Bygland;0
0940 - Valle;4221 - Valle;0
0941 - Bykle;4222 - Bykle;0
1001 - Kristiansand;4204 - Kristiansand;0
1002 - Mandal;4205 - Lindesnes;0
1003 - Farsund;4206 - Farsund;0
1004 - Flekkefjord;4207 - Flekkefjord;0
1014 - Vennesla;4223 - Vennesla;0
1017 - Songdalen;4204 - Kristiansand;0
1018 - Søgne;4204 - Kristiansand;0
1021 - Marnardal;4205 - Lindesnes;0
1026 - Åseral;4224 - Åseral;0
1027 - Audnedal;4225 - Lyngdal;0
1029 - Lindesnes;4205 - Lindesnes;0
1032 - Lyngdal;4225 - Lyngdal;0
1034 - Hægebostad;4226 - Hægebostad;0
1037 - Kvinesdal;4227 - Kvinesdal;0
1046 - Sirdal;4228 - Sirdal;0
1102 - Sandnes;1108 - Sandnes;0
1129 - Forsand;1108 - Sandnes;0
1141 - Finnøy;1103 - Stavanger;0
1142 - Rennesøy;1103 - Stavanger;0
1201 - Bergen;4601 - Bergen;0
1211 - Etne;4611 - Etne;0
1216 - Sveio;4612 - Sveio;0
1219 - Bømlo;4613 - Bømlo;0
1221 - Stord;4614 - Stord;0
1222 - Fitjar;4615 - Fitjar;0
1223 - Tysnes;4616 - Tysnes;0
1224 - Kvinnherad;4617 - Kvinnherad;0
1227 - Jondal;4618 - Ullensvang;0
1228 - Odda;4618 - Ullensvang;0
1231 - Ullensvang;4618 - Ullensvang;0
1232 - Eidfjord;4619 - Eidfjord;0
1233 - Ulvik;4620 - Ulvik;0
1234 - Granvin;4621 - Voss;0
1235 - Voss;4621 - Voss;0
1238 - Kvam;4622 - Kvam;0
1241 - Fusa;4624 - Bjørnafjorden;0
1242 - Samnanger;4623 - Samnanger;0
1243 - Os;4624 - Bjørnafjorden;0
1244 - Austevoll;4625 - Austevoll;0
1245 - Sund;4626 - Øygarden;0
1246 - Fjell;4626 - Øygarden;0
1247 - Askøy;4627 - Askøy;0
1251 - Vaksdal;4628 - Vaksdal;0
1252 - Modalen;4629 - Modalen;0
1253 - Osterøy;4630 - Osterøy;0
1256 - Meland;4631 - Alver;0
1259 - Øygarden;4626 - Øygarden;0
1260 - Radøy;4631 - Alver;0
1263 - Lindås;4631 - Alver;0
1264 - Austrheim;4632 - Austrheim;0
1265 - Fedje;4633 - Fedje;0
1266 - Masfjorden;4634 - Masfjorden;0
1401 - Flora;4602 - Kinn;0
1411 - Gulen;4635 - Gulen;0
1412 - Solund;4636 - Solund;0
1413 - Hyllestad;4637 - Hyllestad;0
1416 - Høyanger;4638 - Høyanger;0
1417 - Vik;4639 - Vik;0
1418 - Balestrand;4640 - Sogndal;0
1419 - Leikanger;4640 - Sogndal;0
1420 - Sogndal;4640 - Sogndal;0
1421 - Aurland;4641 - Aurland;0
1422 - Lærdal;4642 - Lærdal;0
1424 - Årdal;4643 - Årdal;0
1426 - Luster;4644 - Luster;0
1428 - Askvoll;4645 - Askvoll;0
1429 - Fjaler;4646 - Fjaler;0
1430 - Gaular;4647 - Sunnfjord;0
1431 - Jølster;4647 - Sunnfjord;0
1432 - Førde;4647 - Sunnfjord;0
1433 - Naustdal;4647 - Sunnfjord;0
1438 - Bremanger;4648 - Bremanger;0
1439 - Vågsøy;4602 - Kinn;0
1441 - Selje;4649 - Stad;0
1443 - Eid;4649 - Stad;0
1444 - Hornindal;1577 - Volda;0
1445 - Gloppen;4650 - Gloppen;0
1449 - Stryn;4651 - Stryn;0
1502 - Molde;1506 - Molde;0
1504 - Ålesund;1507 - Ålesund;0
1519 - Volda;1577 - Volda;0
1523 - Ørskog;1507 - Ålesund;0
1524 - Norddal;1578 - Fjord;0
1526 - Stordal;1578 - Fjord;0
1529 - Skodje;1507 - Ålesund;0
1534 - Haram;1507 - Ålesund;0
1543 - Nesset;1506 - Molde;0
1545 - Midsund;1506 - Molde;0
1546 - Sandøy;1507 - Ålesund;0
1548 - Fræna;1579 - Hustadvika;0
1551 - Eide;1579 - Hustadvika;0
1571 - Halsa;5055 - Heim;0
1805 - Narvik;1806 - Narvik;0
1826 - Hattfjelldal;1826 - Aarborte - Hattfjelldal;0
1849 - Hábmer - Hamarøy;1875 - Hábmer - Hamarøy;0
1850 - Tysfjord - Divtasvuodna;1806 - Narvik;1
1850 - Tysfjord - Divtasvuodna;1875 - Hábmer - Hamarøy;1
1852 - Dielddanuorri - Tjeldsund;5412 - Dielddanuorri - Tjeldsund;0
1854 - Ballangen;1806 - Narvik;0
1902 - Tromsø;5401 - Tromsø;0
1903 - Harstad - Hárstták;5402 - Harstad - Hárstták;0
1911 - Kvæfjord;5411 - Kvæfjord;0
1913 - Skånland;5412 - Dielddanuorri - Tjeldsund;0
1917 - Ibestad;5413 - Ibestad;0
1919 - Gratangen;5414 - Gratangen;0
1920 - Loabák - Lavangen;5415 - Loabák - Lavangen;0
1922 - Bardu;5416 - Bardu;0
1923 - Salangen;5417 - Salangen;0
1924 - Målselv;5418 - Målselv;0
1925 - Sørreisa;5419 - Sørreisa;0
1926 - Dyrøy;5420 - Dyrøy;0
1927 - Tranøy;5421 - Senja;0
1928 - Torsken;5421 - Senja;0
1929 - Berg;5421 - Senja;0
1931 - Lenvik;5421 - Senja;0
1933 - Balsfjord;5422 - Balsfjord;0
1936 - Karlsøy;5423 - Karlsøy;0
1938 - Lyngen;5424 - Lyngen;0
1939 - Storfjord - Omasvuotna - Omasvuono;5425 - Storfjord - Omasvuotna - Omasvuono;0
1940 - Gáivuotna - Kåfjord - Kaivuono;5426 - Gáivuotna - Kåfjord - Kaivuono;0
1941 - Skjervøy;5427 - Skjervøy;0
1942 - Nordreisa - Ráisa - Raisi;5428 - Nordreisa - Ráisa - Raisi;0
1943 - Kvænangen;5429 - Kvænangen;0
2002 - Vardø;5404 - Vardø;0
2003 - Vadsø;5405 - Vadsø;0
