"kommunenummer_2017";"kommunenavn_2017";"kommunenummer_2018";"kommunenavn_2018";"endringsmerknad_17_18"
"0439";"Folldal";"0439";"Folldal";"uendret fra 2017 til 2018"
"0441";"Os";"0441";"Os";"uendret fra 2017 til 2018"
"0501";"Lillehammer";"0501";"Lillehammer";"uendret fra 2017 til 2018"
"0502";"Gjøvik";"0502";"Gjøvik";"uendret fra 2017 til 2018"
"0511";"Dovre";"0511";"Dovre";"uendret fra 2017 til 2018"
"0512";"Lesja";"0512";"Lesja";"uendret fra 2017 til 2018"
"0513";"Skjåk";"0513";"Skjåk";"uendret fra 2017 til 2018"
"0514";"Lom";"0514";"Lom";"uendret fra 2017 til 2018"
"0515";"Vågå";"0515";"Vågå";"uendret fra 2017 til 2018"
"0516";"Nord-Fron";"0516";"Nord-Fron";"uendret fra 2017 til 2018"
"0517";"Sel";"0517";"Sel";"uendret fra 2017 til 2018"
"0519";"Sør-Fron";"0519";"Sør-Fron";"uendret fra 2017 til 2018"
"0520";"Ringebu";"0520";"Ringebu";"uendret fra 2017 til 2018"
"0521";"Øyer";"0521";"Øyer";"uendret fra 2017 til 2018"
"0522";"Gausdal";"0522";"Gausdal";"uendret fra 2017 til 2018"
"0528";"Østre Toten";"0528";"Østre Toten";"uendret fra 2017 til 2018"
"0529";"Vestre Toten";"0529";"Vestre Toten";"uendret fra 2017 til 2018"
"0532";"Jevnaker";"0532";"Jevnaker";"uendret fra 2017 til 2018"
"0533";"Lunner";"0533";"Lunner";"uendret fra 2017 til 2018"
"0534";"Gran";"0534";"Gran";"uendret fra 2017 til 2018"
"0536";"Søndre Land";"0536";"Søndre Land";"uendret fra 2017 til 2018"
"0538";"Nordre Land";"0538";"Nordre Land";"uendret fra 2017 til 2018"
"0540";"Sør-Aurdal";"0540";"Sør-Aurdal";"uendret fra 2017 til 2018"
"0541";"Etnedal";"0541";"Etnedal";"uendret fra 2017 til 2018"
"0542";"Nord-Aurdal";"0542";"Nord-Aurdal";"uendret fra 2017 til 2018"
"0543";"Vestre Slidre";"0543";"Vestre Slidre";"uendret fra 2017 til 2018"
"0544";"Øystre Slidre";"0544";"Øystre Slidre";"uendret fra 2017 til 2018"
"0545";"Vang";"0545";"Vang";"uendret fra 2017 til 2018"
"0602";"Drammen";"0602";"Drammen";"uendret fra 2017 til 2018"
"0604";"Kongsberg";"0604";"Kongsberg";"uendret fra 2017 til 2018"
"0605";"Ringerike";"0605";"Ringerike";"uendret fra 2017 til 2018"
"0612";"Hole";"0612";"Hole";"uendret fra 2017 til 2018"
"0615";"Flå";"0615";"Flå";"uendret fra 2017 til 2018"
"0616";"Nes";"0616";"Nes";"uendret fra 2017 til 2018"
"0617";"Gol";"0617";"Gol";"uendret fra 2017 til 2018"
"0618";"Hemsedal";"0618";"Hemsedal";"uendret fra 2017 til 2018"
"0619";"Ål";"0619";"Ål";"uendret fra 2017 til 2018"
"0620";"Hol";"0620";"Hol";"uendret fra 2017 til 2018"
"0621";"Sigdal";"0621";"Sigdal";"uendret fra 2017 til 2018"
"0622";"Krødsherad";"0622";"Krødsherad";"uendret fra 2017 til 2018"
"0623";"Modum";"0623";"Modum";"uendret fra 2017 til 2018"
"0624";"Øvre Eiker";"0624";"Øvre Eiker";"uendret fra 2017 til 2018"
"0625";"Nedre Eiker";"0625";"Nedre Eiker";"uendret fra 2017 til 2018"
"0626";"Lier";"0626";"Lier";"uendret fra 2017 til 2018"
"0627";"Røyken";"0627";"Røyken";"uendret fra 2017 til 2018"
"0628";"Hurum";"0628";"Hurum";"uendret fra 2017 til 2018"
"0631";"Flesberg";"0631";"Flesberg";"uendret fra 2017 til 2018"
"0632";"Rollag";"0632";"Rollag";"uendret fra 2017 til 2018"
"0633";"Nore og Uvdal";"0633";"Nore og Uvdal";"uendret fra 2017 til 2018"
"0701";"Horten";"0701";"Horten";"uendret fra 2017 til 2018"
"0702";"Holmestrand";"0715";"Holmestrand";"slått sammen fra 2017 til 2018"
"0704";"Tønsberg";"0704";"Tønsberg";"uendret fra 2017 til 2018"
"0709";"Larvik";"0712";"Larvik";"slått sammen fra 2017 til 2018"
"0710";"Sandefjord";"0710";"Sandefjord";"uendret fra 2017 til 2018"
"0711";"Svelvik";"0711";"Svelvik";"uendret fra 2017 til 2018"
"0713";"Sande";"0713";"Sande";"uendret fra 2017 til 2018"
"0714";"Hof";"0715";"Holmestrand";"slått sammen fra 2017 til 2018"
"0716";"Re";"0716";"Re";"uendret fra 2017 til 2018"
"0722";"Nøtterøy";"0729";"Færder";"slått sammen fra 2017 til 2018"
"0723";"Tjøme";"0729";"Færder";"slått sammen fra 2017 til 2018"
"0728";"Lardal";"0712";"Larvik";"slått sammen fra 2017 til 2018"
"0805";"Porsgrunn";"0805";"Porsgrunn";"uendret fra 2017 til 2018"
"0806";"Skien";"0806";"Skien";"uendret fra 2017 til 2018"
"0807";"Notodden";"0807";"Notodden";"uendret fra 2017 til 2018"
"0811";"Siljan";"0811";"Siljan";"uendret fra 2017 til 2018"
"0814";"Bamble";"0814";"Bamble";"uendret fra 2017 til 2018"
"0815";"Kragerø";"0815";"Kragerø";"uendret fra 2017 til 2018"
"0817";"Drangedal";"0817";"Drangedal";"uendret fra 2017 til 2018"
"0819";"Nome";"0819";"Nome";"uendret fra 2017 til 2018"
"0821";"Bø";"0821";"Bø";"uendret fra 2017 til 2018"
"0822";"Sauherad";"0822";"Sauherad";"uendret fra 2017 til 2018"
"0826";"Tinn";"0826";"Tinn";"uendret fra 2017 til 2018"
"0827";"Hjartdal";"0827";"Hjartdal";"uendret fra 2017 til 2018"
"0828";"Seljord";"0828";"Seljord";"uendret fra 2017 til 2018"
"0829";"Kviteseid";"0829";"Kviteseid";"uendret fra 2017 til 2018"
"0830";"Nissedal";"0830";"Nissedal";"uendret fra 2017 til 2018"
"0831";"Fyresdal";"0831";"Fyresdal";"uendret fra 2017 til 2018"
"0833";"Tokke";"0833";"Tokke";"uendret fra 2017 til 2018"
"0834";"Vinje";"0834";"Vinje";"uendret fra 2017 til 2018"
"0901";"Risør";"0901";"Risør";"uendret fra 2017 til 2018"
"0904";"Grimstad";"0904";"Grimstad";"uendret fra 2017 til 2018"
"0906";"Arendal";"0906";"Arendal";"uendret fra 2017 til 2018"
"0911";"Gjerstad";"0911";"Gjerstad";"uendret fra 2017 til 2018"
"0912";"Vegårshei";"0912";"Vegårshei";"uendret fra 2017 til 2018"
"0914";"Tvedestrand";"0914";"Tvedestrand";"uendret fra 2017 til 2018"
"0919";"Froland";"0919";"Froland";"uendret fra 2017 til 2018"
"0926";"Lillesand";"0926";"Lillesand";"uendret fra 2017 til 2018"
"0928";"Birkenes";"0928";"Birkenes";"uendret fra 2017 til 2018"
"0929";"Åmli";"0929";"Åmli";"uendret fra 2017 til 2018"
"0935";"Iveland";"0935";"Iveland";"uendret fra 2017 til 2018"
"0937";"Evje og Hornnes";"0937";"Evje og Hornnes";"uendret fra 2017 til 2018"
"0938";"Bygland";"0938";"Bygland";"uendret fra 2017 til 2018"
"0940";"Valle";"0940";"Valle";"uendret fra 2017 til 2018"
"0941";"Bykle";"0941";"Bykle";"uendret fra 2017 til 2018"
"1001";"Kristiansand";"1001";"Kristiansand";"uendret fra 2017 til 2018"
"1002";"Mandal";"1002";"Mandal";"uendret fra 2017 til 2018"
"1003";"Farsund";"1003";"Farsund";"uendret fra 2017 til 2018"
"1004";"Flekkefjord";"1004";"Flekkefjord";"uendret fra 2017 til 2018"
"1014";"Vennesla";"1014";"Vennesla";"uendret fra 2017 til 2018"
"1017";"Songdalen";"1017";"Songdalen";"uendret fra 2017 til 2018"
"1018";"Søgne";"1018";"Søgne";"uendret fra 2017 til 2018"
"1021";"Marnardal";"1021";"Marnardal";"uendret fra 2017 til 2018"
"1026";"Åseral";"1026";"Åseral";"uendret fra 2017 til 2018"
"1027";"Audnedal";"1027";"Audnedal";"uendret fra 2017 til 2018"
"1029";"Lindesnes";"1029";"Lindesnes";"uendret fra 2017 til 2018"
"1032";"Lyngdal";"1032";"Lyngdal";"uendret fra 2017 til 2018"
"1034";"Hægebostad";"1034";"Hægebostad";"uendret fra 2017 til 2018"
"1037";"Kvinesdal";"1037";"Kvinesdal";"uendret fra 2017 til 2018"
"1046";"Sirdal";"1046";"Sirdal";"uendret fra 2017 til 2018"
"1101";"Eigersund";"1101";"Eigersund";"uendret fra 2017 til 2018"
"1102";"Sandnes";"1102";"Sandnes";"uendret fra 2017 til 2018"
"1103";"Stavanger";"1103";"Stavanger";"uendret fra 2017 til 2018"
"1106";"Haugesund";"1106";"Haugesund";"uendret fra 2017 til 2018"
"1111";"Sokndal";"1111";"Sokndal";"uendret fra 2017 til 2018"
"1112";"Lund";"1112";"Lund";"uendret fra 2017 til 2018"
"1114";"Bjerkreim";"1114";"Bjerkreim";"uendret fra 2017 til 2018"
"1119";"Hå";"1119";"Hå";"uendret fra 2017 til 2018"
"1120";"Klepp";"1120";"Klepp";"uendret fra 2017 til 2018"
"1121";"Time";"1121";"Time";"uendret fra 2017 til 2018"
"1122";"Gjesdal";"1122";"Gjesdal";"uendret fra 2017 til 2018"
"1124";"Sola";"1124";"Sola";"uendret fra 2017 til 2018"
"1127";"Randaberg";"1127";"Randaberg";"uendret fra 2017 til 2018"
"1129";"Forsand";"1129";"Forsand";"uendret fra 2017 til 2018"
"1130";"Strand";"1130";"Strand";"uendret fra 2017 til 2018"
"1133";"Hjelmeland";"1133";"Hjelmeland";"uendret fra 2017 til 2018"
"1134";"Suldal";"1134";"Suldal";"uendret fra 2017 til 2018"
"1135";"Sauda";"1135";"Sauda";"uendret fra 2017 til 2018"
"1141";"Finnøy";"1141";"Finnøy";"uendret fra 2017 til 2018"
"1142";"Rennesøy";"1142";"Rennesøy";"uendret fra 2017 til 2018"
"1144";"Kvitsøy";"1144";"Kvitsøy";"uendret fra 2017 til 2018"
"1145";"Bokn";"1145";"Bokn";"uendret fra 2017 til 2018"
"1146";"Tysvær";"1146";"Tysvær";"uendret fra 2017 til 2018"
"1149";"Karmøy";"1149";"Karmøy";"uendret fra 2017 til 2018"
"1151";"Utsira";"1151";"Utsira";"uendret fra 2017 til 2018"
"1160";"Vindafjord";"1160";"Vindafjord";"uendret fra 2017 til 2018"
"1201";"Bergen";"1201";"Bergen";"uendret fra 2017 til 2018"
"1211";"Etne";"1211";"Etne";"uendret fra 2017 til 2018"
"1216";"Sveio";"1216";"Sveio";"uendret fra 2017 til 2018"
"1219";"Bømlo";"1219";"Bømlo";"uendret fra 2017 til 2018"
"1221";"Stord";"1221";"Stord";"uendret fra 2017 til 2018"
"1222";"Fitjar";"1222";"Fitjar";"uendret fra 2017 til 2018"
"1223";"Tysnes";"1223";"Tysnes";"uendret fra 2017 til 2018"
"1224";"Kvinnherad";"1224";"Kvinnherad";"uendret fra 2017 til 2018"
"1227";"Jondal";"1227";"Jondal";"uendret fra 2017 til 2018"
"1228";"Odda";"1228";"Odda";"uendret fra 2017 til 2018"
"1231";"Ullensvang";"1231";"Ullensvang";"uendret fra 2017 til 2018"
"1232";"Eidfjord";"1232";"Eidfjord";"uendret fra 2017 til 2018"
"1233";"Ulvik";"1233";"Ulvik";"uendret fra 2017 til 2018"
"1234";"Granvin";"1234";"Granvin";"uendret fra 2017 til 2018"
"1235";"Voss";"1235";"Voss";"uendret fra 2017 til 2018"
"1238";"Kvam";"1238";"Kvam";"uendret fra 2017 til 2018"
"1241";"Fusa";"1241";"Fusa";"uendret fra 2017 til 2018"
"1242";"Samnanger";"1242";"Samnanger";"uendret fra 2017 til 2018"
"1243";"Os";"1243";"Os";"uendret fra 2017 til 2018"
"1244";"Austevoll";"1244";"Austevoll";"uendret fra 2017 til 2018"
"1245";"Sund";"1245";"Sund";"uendret fra 2017 til 2018"
"1246";"Fjell";"1246";"Fjell";"uendret fra 2017 til 2018"
"1247";"Askøy";"1247";"Askøy";"uendret fra 2017 til 2018"
"1251";"Vaksdal";"1251";"Vaksdal";"uendret fra 2017 til 2018"
"1252";"Modalen";"1252";"Modalen";"uendret fra 2017 til 2018"
"1253";"Osterøy";"1253";"Osterøy";"uendret fra 2017 til 2018"
"1256";"Meland";"1256";"Meland";"uendret fra 2017 til 2018"
"1259";"Øygarden";"1259";"Øygarden";"uendret fra 2017 til 2018"
"1260";"Radøy";"1260";"Radøy";"uendret fra 2017 til 2018"
"1263";"Lindås";"1263";"Lindås";"uendret fra 2017 til 2018"
"1264";"Austrheim";"1264";"Austrheim";"uendret fra 2017 til 2018"
"1265";"Fedje";"1265";"Fedje";"uendret fra 2017 til 2018"
"1266";"Masfjorden";"1266";"Masfjorden";"uendret fra 2017 til 2018"
"1401";"Flora";"1401";"Flora";"uendret fra 2017 til 2018"
"1411";"Gulen";"1411";"Gulen";"uendret fra 2017 til 2018"
"1412";"Solund";"1412";"Solund";"uendret fra 2017 til 2018"
"1413";"Hyllestad";"1413";"Hyllestad";"uendret fra 2017 til 2018"
"1416";"Høyanger";"1416";"Høyanger";"uendret fra 2017 til 2018"
"1417";"Vik";"1417";"Vik";"uendret fra 2017 til 2018"
"1418";"Balestrand";"1418";"Balestrand";"uendret fra 2017 til 2018"
"1419";"Leikanger";"1419";"Leikanger";"uendret fra 2017 til 2018"
"1420";"Sogndal";"1420";"Sogndal";"uendret fra 2017 til 2018"
"1421";"Aurland";"1421";"Aurland";"uendret fra 2017 til 2018"
"1422";"Lærdal";"1422";"Lærdal";"uendret fra 2017 til 2018"
"1424";"Årdal";"1424";"Årdal";"uendret fra 2017 til 2018"
"1426";"Luster";"1426";"Luster";"uendret fra 2017 til 2018"
"1428";"Askvoll";"1428";"Askvoll";"uendret fra 2017 til 2018"
"1429";"Fjaler";"1429";"Fjaler";"uendret fra 2017 til 2018"
"1430";"Gaular";"1430";"Gaular";"uendret fra 2017 til 2018"
"1431";"Jølster";"1431";"Jølster";"uendret fra 2017 til 2018"
"1432";"Førde";"1432";"Førde";"uendret fra 2017 til 2018"
"1433";"Naustdal";"1433";"Naustdal";"uendret fra 2017 til 2018"
"1438";"Bremanger";"1438";"Bremanger";"uendret fra 2017 til 2018"
"1439";"Vågsøy";"1439";"Vågsøy";"uendret fra 2017 til 2018"
"1441";"Selje";"1441";"Selje";"uendret fra 2017 til 2018"
"1443";"Eid";"1443";"Eid";"uendret fra 2017 til 2018"
"1444";"Hornindal";"1444";"Hornindal";"uendret fra 2017 til 2018"
"1445";"Gloppen";"1445";"Gloppen";"uendret fra 2017 til 2018"
"1449";"Stryn";"1449";"Stryn";"uendret fra 2017 til 2018"
"1502";"Molde";"1502";"Molde";"uendret fra 2017 til 2018"
"1504";"Ålesund";"1504";"Ålesund";"uendret fra 2017 til 2018"
"1505";"Kristiansund";"1505";"Kristiansund";"uendret fra 2017 til 2018"
"1511";"Vanylven";"1511";"Vanylven";"uendret fra 2017 til 2018"
"1514";"Sande";"1514";"Sande";"uendret fra 2017 til 2018"
"1515";"Herøy";"1515";"Herøy";"uendret fra 2017 til 2018"
"1516";"Ulstein";"1516";"Ulstein";"uendret fra 2017 til 2018"
"1517";"Hareid";"1517";"Hareid";"uendret fra 2017 til 2018"
"1519";"Volda";"1519";"Volda";"uendret fra 2017 til 2018"
"1520";"Ørsta";"1520";"Ørsta";"uendret fra 2017 til 2018"
"1523";"Ørskog";"1523";"Ørskog";"uendret fra 2017 til 2018"
"1524";"Norddal";"1524";"Norddal";"uendret fra 2017 til 2018"
"1525";"Stranda";"1525";"Stranda";"uendret fra 2017 til 2018"
"1526";"Stordal";"1526";"Stordal";"uendret fra 2017 til 2018"
"1528";"Sykkylven";"1528";"Sykkylven";"uendret fra 2017 til 2018"
"1529";"Skodje";"1529";"Skodje";"uendret fra 2017 til 2018"
"1531";"Sula";"1531";"Sula";"uendret fra 2017 til 2018"
"1532";"Giske";"1532";"Giske";"uendret fra 2017 til 2018"
"1534";"Haram";"1534";"Haram";"uendret fra 2017 til 2018"
"1535";"Vestnes";"1535";"Vestnes";"uendret fra 2017 til 2018"
"1539";"Rauma";"1539";"Rauma";"uendret fra 2017 til 2018"
"1543";"Nesset";"1543";"Nesset";"uendret fra 2017 til 2018"
"1545";"Midsund";"1545";"Midsund";"uendret fra 2017 til 2018"
"1546";"Sandøy";"1546";"Sandøy";"uendret fra 2017 til 2018"
"1547";"Aukra";"1547";"Aukra";"uendret fra 2017 til 2018"
"1548";"Fræna";"1548";"Fræna";"uendret fra 2017 til 2018"
"1551";"Eide";"1551";"Eide";"uendret fra 2017 til 2018"
"1554";"Averøy";"1554";"Averøy";"uendret fra 2017 til 2018"
"1557";"Gjemnes";"1557";"Gjemnes";"uendret fra 2017 til 2018"
"1560";"Tingvoll";"1560";"Tingvoll";"uendret fra 2017 til 2018"
"1563";"Sunndal";"1563";"Sunndal";"uendret fra 2017 til 2018"
"1566";"Surnadal";"1566";"Surnadal";"uendret fra 2017 til 2018"
"1567";"Rindal";"1567";"Rindal";"uendret fra 2017 til 2018"
"1571";"Halsa";"1571";"Halsa";"uendret fra 2017 til 2018"
"1573";"Smøla";"1573";"Smøla";"uendret fra 2017 til 2018"
"1576";"Aure";"1576";"Aure";"uendret fra 2017 til 2018"
"1601";"Trondheim";"5001";"Trondheim";"kun endret nummer fra 2017 til 2018"
"1612";"Hemne";"5011";"Hemne";"kun endret nummer fra 2017 til 2018"
"1613";"Snillfjord";"5012";"Snillfjord";"kun endret nummer fra 2017 til 2018"
"1617";"Hitra";"5013";"Hitra";"kun endret nummer fra 2017 til 2018"
"1620";"Frøya";"5014";"Frøya";"kun endret nummer fra 2017 til 2018"
"1621";"Ørland";"5015";"Ørland";"kun endret nummer fra 2017 til 2018"
"1622";"Agdenes";"5016";"Agdenes";"kun endret nummer fra 2017 til 2018"
"1624";"Rissa";"5054";"Indre Fosen";"slått sammen fra 2017 til 2018"
"1627";"Bjugn";"5017";"Bjugn";"kun endret nummer fra 2017 til 2018"
"1630";"Åfjord";"5018";"Åfjord";"kun endret nummer fra 2017 til 2018"
"1632";"Roan";"5019";"Roan";"kun endret nummer fra 2017 til 2018"
"1633";"Osen";"5020";"Osen";"kun endret nummer fra 2017 til 2018"
"1634";"Oppdal";"5021";"Oppdal";"kun endret nummer fra 2017 til 2018"
"1635";"Rennebu";"5022";"Rennebu";"kun endret nummer fra 2017 til 2018"
"1636";"Meldal";"5023";"Meldal";"kun endret nummer fra 2017 til 2018"
"1638";"Orkdal";"5024";"Orkdal";"kun endret nummer fra 2017 til 2018"
"1640";"Røros";"5025";"Røros";"kun endret nummer fra 2017 til 2018"
"1644";"Holtålen";"5026";"Holtålen";"kun endret nummer fra 2017 til 2018"
"1648";"Midtre Gauldal";"5027";"Midtre Gauldal";"kun endret nummer fra 2017 til 2018"
"1653";"Melhus";"5028";"Melhus";"kun endret nummer fra 2017 til 2018"
"1657";"Skaun";"5029";"Skaun";"kun endret nummer fra 2017 til 2018"
"1662";"Klæbu";"5030";"Klæbu";"kun endret nummer fra 2017 til 2018"
"1663";"Malvik";"5031";"Malvik";"kun endret nummer fra 2017 til 2018"
"1664";"Selbu";"5032";"Selbu";"kun endret nummer fra 2017 til 2018"
"1665";"Tydal";"5033";"Tydal";"kun endret nummer fra 2017 til 2018"
"1702";"Steinkjer";"5004";"Steinkjer";"kun endret nummer fra 2017 til 2018"
"1703";"Namsos";"5005";"Namsos";"kun endret nummer fra 2017 til 2018"
"1711";"Meråker";"5034";"Meråker";"kun endret nummer fra 2017 til 2018"
"1714";"Stjørdal";"5035";"Stjørdal";"kun endret nummer fra 2017 til 2018"
"1717";"Frosta";"5036";"Frosta";"kun endret nummer fra 2017 til 2018"
"1718";"Leksvik";"5054";"Indre Fosen";"slått sammen fra 2017 til 2018"
"1719";"Levanger";"5037";"Levanger";"kun endret nummer fra 2017 til 2018"
"1721";"Verdal";"5038";"Verdal";"kun endret nummer fra 2017 til 2018"
"1724";"Verran";"5039";"Verran";"kun endret nummer fra 2017 til 2018"
"1725";"Namdalseid";"5040";"Namdalseid";"kun endret nummer fra 2017 til 2018"
"1736";"Snåase - Snåsa";"5041";"Snåase - Snåsa";"kun endret nummer fra 2017 til 2018"
"1738";"Lierne";"5042";"Lierne";"kun endret nummer fra 2017 til 2018"
"1739";"Raarvihke - Røyrvik";"5043";"Raarvihke - Røyrvik";"kun endret nummer fra 2017 til 2018"
"1740";"Namsskogan";"5044";"Namsskogan";"kun endret nummer fra 2017 til 2018"
"1742";"Grong";"5045";"Grong";"kun endret nummer fra 2017 til 2018"
"1743";"Høylandet";"5046";"Høylandet";"kun endret nummer fra 2017 til 2018"
"1744";"Overhalla";"5047";"Overhalla";"kun endret nummer fra 2017 til 2018"
"1748";"Fosnes";"5048";"Fosnes";"kun endret nummer fra 2017 til 2018"
"1749";"Flatanger";"5049";"Flatanger";"kun endret nummer fra 2017 til 2018"
"1750";"Vikna";"5050";"Vikna";"kun endret nummer fra 2017 til 2018"
"1751";"Nærøy";"5051";"Nærøy";"kun endret nummer fra 2017 til 2018"
"1755";"Leka";"5052";"Leka";"kun endret nummer fra 2017 til 2018"
"1756";"Inderøy";"5053";"Inderøy";"kun endret nummer fra 2017 til 2018"
"1804";"Bodø";"1804";"Bodø";"uendret fra 2017 til 2018"
"1805";"Narvik";"1805";"Narvik";"uendret fra 2017 til 2018"
"1811";"Bindal";"1811";"Bindal";"uendret fra 2017 til 2018"
"1812";"Sømna";"1812";"Sømna";"uendret fra 2017 til 2018"
"1813";"Brønnøy";"1813";"Brønnøy";"uendret fra 2017 til 2018"
"1815";"Vega";"1815";"Vega";"uendret fra 2017 til 2018"
"1816";"Vevelstad";"1816";"Vevelstad";"uendret fra 2017 til 2018"
"1818";"Herøy";"1818";"Herøy";"uendret fra 2017 til 2018"
"1820";"Alstahaug";"1820";"Alstahaug";"uendret fra 2017 til 2018"
"1822";"Leirfjord";"1822";"Leirfjord";"uendret fra 2017 til 2018"
"1824";"Vefsn";"1824";"Vefsn";"uendret fra 2017 til 2018"
"1825";"Grane";"1825";"Grane";"uendret fra 2017 til 2018"
"1826";"Hattfjelldal";"1826";"Hattfjelldal";"uendret fra 2017 til 2018"
"1827";"Dønna";"1827";"Dønna";"uendret fra 2017 til 2018"
"1828";"Nesna";"1828";"Nesna";"uendret fra 2017 til 2018"
"1832";"Hemnes";"1832";"Hemnes";"uendret fra 2017 til 2018"
"1833";"Rana";"1833";"Rana";"uendret fra 2017 til 2018"
"1834";"Lurøy";"1834";"Lurøy";"uendret fra 2017 til 2018"
"1835";"Træna";"1835";"Træna";"uendret fra 2017 til 2018"
"1836";"Rødøy";"1836";"Rødøy";"uendret fra 2017 til 2018"
"1837";"Meløy";"1837";"Meløy";"uendret fra 2017 til 2018"
"1838";"Gildeskål";"1838";"Gildeskål";"uendret fra 2017 til 2018"
"1839";"Beiarn";"1839";"Beiarn";"uendret fra 2017 til 2018"
"1840";"Saltdal";"1840";"Saltdal";"uendret fra 2017 til 2018"
"1841";"Fauske - Fuossko";"1841";"Fauske - Fuossko";"uendret fra 2017 til 2018"
"1845";"Sørfold";"1845";"Sørfold";"uendret fra 2017 til 2018"
