kommuner_2018;kommuner_2019
1567 - Rindal;5061 - Rindal
1942 - Nordreisa;1942 - Nordreisa - Ráisa - Raisi
2004 - Hammerfest;2004 - Hammerfest - Hámmerfeasta
5005 - Namsos;5005 - Namsos - Nåavmesjenjaelmie
