"kommunenummer_2013";"kommunenavn_2013";"kommunenummer_2017";"kommunenavn_2017";"endringsmerknad_13_17";"kommunenummer_2018";"kommunenavn_2018";"endringsmerknad_17_18";"kommunenummer_2019";"kommunenavn_2019";"endringsmerknad_18_19";"kommunenummer_2020";"kommunenavn_2020";"endringsmerknad_19_20"
"0220";"Asker";"0220";"Asker";"uendret fra 2013 til 2017";"0220";"Asker";"uendret fra 2017 til 2018";"0220";"Asker";"uendret fra 2018 til 2019";"3025";"Asker";"slått sammen fra 2019 til 2020"
"0221";"Aurskog-Høland";"0221";"Aurskog-Høland";"uendret fra 2013 til 2017";"0221";"Aurskog-Høland";"uendret fra 2017 til 2018";"0221";"Aurskog-Høland";"uendret fra 2018 til 2019";"3026";"Aurskog-Høland";"slått sammen fra 2019 til 2020"
"0226";"Sørum";"0226";"Sørum";"uendret fra 2013 til 2017";"0226";"Sørum";"uendret fra 2017 til 2018";"0226";"Sørum";"uendret fra 2018 til 2019";"3030";"Lillestrøm";"slått sammen fra 2019 til 2020"
"0227";"Fet";"0227";"Fet";"uendret fra 2013 til 2017";"0227";"Fet";"uendret fra 2017 til 2018";"0227";"Fet";"uendret fra 2018 til 2019";"3030";"Lillestrøm";"slått sammen fra 2019 til 2020"
"0228";"Rælingen";"0228";"Rælingen";"uendret fra 2013 til 2017";"0228";"Rælingen";"uendret fra 2017 til 2018";"0228";"Rælingen";"uendret fra 2018 til 2019";"3027";"Rælingen";"kun endret nummer fra 2019 til 2020"
"0229";"Enebakk";"0229";"Enebakk";"uendret fra 2013 til 2017";"0229";"Enebakk";"uendret fra 2017 til 2018";"0229";"Enebakk";"uendret fra 2018 til 2019";"3028";"Enebakk";"kun endret nummer fra 2019 til 2020"
"0230";"Lørenskog";"0230";"Lørenskog";"uendret fra 2013 til 2017";"0230";"Lørenskog";"uendret fra 2017 til 2018";"0230";"Lørenskog";"uendret fra 2018 til 2019";"3029";"Lørenskog";"kun endret nummer fra 2019 til 2020"
"0231";"Skedsmo";"0231";"Skedsmo";"uendret fra 2013 til 2017";"0231";"Skedsmo";"uendret fra 2017 til 2018";"0231";"Skedsmo";"uendret fra 2018 til 2019";"3030";"Lillestrøm";"slått sammen fra 2019 til 2020"
"0233";"Nittedal";"0233";"Nittedal";"uendret fra 2013 til 2017";"0233";"Nittedal";"uendret fra 2017 til 2018";"0233";"Nittedal";"uendret fra 2018 til 2019";"3031";"Nittedal";"kun endret nummer fra 2019 til 2020"
"0234";"Gjerdrum";"0234";"Gjerdrum";"uendret fra 2013 til 2017";"0234";"Gjerdrum";"uendret fra 2017 til 2018";"0234";"Gjerdrum";"uendret fra 2018 til 2019";"3032";"Gjerdrum";"kun endret nummer fra 2019 til 2020"
"0235";"Ullensaker";"0235";"Ullensaker";"uendret fra 2013 til 2017";"0235";"Ullensaker";"uendret fra 2017 til 2018";"0235";"Ullensaker";"uendret fra 2018 til 2019";"3033";"Ullensaker";"kun endret nummer fra 2019 til 2020"
"0236";"Nes";"0236";"Nes";"uendret fra 2013 til 2017";"0236";"Nes";"uendret fra 2017 til 2018";"0236";"Nes";"uendret fra 2018 til 2019";"3034";"Nes";"kun endret nummer fra 2019 til 2020"
"0237";"Eidsvoll";"0237";"Eidsvoll";"uendret fra 2013 til 2017";"0237";"Eidsvoll";"uendret fra 2017 til 2018";"0237";"Eidsvoll";"uendret fra 2018 til 2019";"3035";"Eidsvoll";"kun endret nummer fra 2019 til 2020"
"0238";"Nannestad";"0238";"Nannestad";"uendret fra 2013 til 2017";"0238";"Nannestad";"uendret fra 2017 til 2018";"0238";"Nannestad";"uendret fra 2018 til 2019";"3036";"Nannestad";"kun endret nummer fra 2019 til 2020"
"0239";"Hurdal";"0239";"Hurdal";"uendret fra 2013 til 2017";"0239";"Hurdal";"uendret fra 2017 til 2018";"0239";"Hurdal";"uendret fra 2018 til 2019";"3037";"Hurdal";"kun endret nummer fra 2019 til 2020"
"0301";"Oslo";"0301";"Oslo";"uendret fra 2013 til 2017";"0301";"Oslo";"uendret fra 2017 til 2018";"0301";"Oslo";"uendret fra 2018 til 2019";"0301";"Oslo";"uendret fra 2019 til 2020"
"0402";"Kongsvinger";"0402";"Kongsvinger";"uendret fra 2013 til 2017";"0402";"Kongsvinger";"uendret fra 2017 til 2018";"0402";"Kongsvinger";"uendret fra 2018 til 2019";"3401";"Kongsvinger";"kun endret nummer fra 2019 til 2020"
"0403";"Hamar";"0403";"Hamar";"uendret fra 2013 til 2017";"0403";"Hamar";"uendret fra 2017 til 2018";"0403";"Hamar";"uendret fra 2018 til 2019";"3403";"Hamar";"kun endret nummer fra 2019 til 2020"
"0412";"Ringsaker";"0412";"Ringsaker";"uendret fra 2013 til 2017";"0412";"Ringsaker";"uendret fra 2017 til 2018";"0412";"Ringsaker";"uendret fra 2018 til 2019";"3411";"Ringsaker";"kun endret nummer fra 2019 til 2020"
"0415";"Løten";"0415";"Løten";"uendret fra 2013 til 2017";"0415";"Løten";"uendret fra 2017 til 2018";"0415";"Løten";"uendret fra 2018 til 2019";"3412";"Løten";"kun endret nummer fra 2019 til 2020"
"0417";"Stange";"0417";"Stange";"uendret fra 2013 til 2017";"0417";"Stange";"uendret fra 2017 til 2018";"0417";"Stange";"uendret fra 2018 til 2019";"3413";"Stange";"kun endret nummer fra 2019 til 2020"
"0418";"Nord-Odal";"0418";"Nord-Odal";"uendret fra 2013 til 2017";"0418";"Nord-Odal";"uendret fra 2017 til 2018";"0418";"Nord-Odal";"uendret fra 2018 til 2019";"3414";"Nord-Odal";"kun endret nummer fra 2019 til 2020"
"0419";"Sør-Odal";"0419";"Sør-Odal";"uendret fra 2013 til 2017";"0419";"Sør-Odal";"uendret fra 2017 til 2018";"0419";"Sør-Odal";"uendret fra 2018 til 2019";"3415";"Sør-Odal";"kun endret nummer fra 2019 til 2020"
"0420";"Eidskog";"0420";"Eidskog";"uendret fra 2013 til 2017";"0420";"Eidskog";"uendret fra 2017 til 2018";"0420";"Eidskog";"uendret fra 2018 til 2019";"3416";"Eidskog";"kun endret nummer fra 2019 til 2020"
"0423";"Grue";"0423";"Grue";"uendret fra 2013 til 2017";"0423";"Grue";"uendret fra 2017 til 2018";"0423";"Grue";"uendret fra 2018 til 2019";"3417";"Grue";"kun endret nummer fra 2019 til 2020"
"0425";"Åsnes";"0425";"Åsnes";"uendret fra 2013 til 2017";"0425";"Åsnes";"uendret fra 2017 til 2018";"0425";"Åsnes";"uendret fra 2018 til 2019";"3418";"Åsnes";"kun endret nummer fra 2019 til 2020"
"0426";"Våler";"0426";"Våler";"uendret fra 2013 til 2017";"0426";"Våler";"uendret fra 2017 til 2018";"0426";"Våler";"uendret fra 2018 til 2019";"3419";"Våler (Innlandet)";"kun endret nummer fra 2019 til 2020"
"0427";"Elverum";"0427";"Elverum";"uendret fra 2013 til 2017";"0427";"Elverum";"uendret fra 2017 til 2018";"0427";"Elverum";"uendret fra 2018 til 2019";"3420";"Elverum";"kun endret nummer fra 2019 til 2020"
"0428";"Trysil";"0428";"Trysil";"uendret fra 2013 til 2017";"0428";"Trysil";"uendret fra 2017 til 2018";"0428";"Trysil";"uendret fra 2018 til 2019";"3421";"Trysil";"kun endret nummer fra 2019 til 2020"
"0429";"Åmot";"0429";"Åmot";"uendret fra 2013 til 2017";"0429";"Åmot";"uendret fra 2017 til 2018";"0429";"Åmot";"uendret fra 2018 til 2019";"3422";"Åmot";"kun endret nummer fra 2019 til 2020"
"0430";"Stor-Elvdal";"0430";"Stor-Elvdal";"uendret fra 2013 til 2017";"0430";"Stor-Elvdal";"uendret fra 2017 til 2018";"0430";"Stor-Elvdal";"uendret fra 2018 til 2019";"3423";"Stor-Elvdal";"kun endret nummer fra 2019 til 2020"
"0432";"Rendalen";"0432";"Rendalen";"uendret fra 2013 til 2017";"0432";"Rendalen";"uendret fra 2017 til 2018";"0432";"Rendalen";"uendret fra 2018 til 2019";"3424";"Rendalen";"kun endret nummer fra 2019 til 2020"
"0434";"Engerdal";"0434";"Engerdal";"uendret fra 2013 til 2017";"0434";"Engerdal";"uendret fra 2017 til 2018";"0434";"Engerdal";"uendret fra 2018 til 2019";"3425";"Engerdal";"kun endret nummer fra 2019 til 2020"
"0436";"Tolga";"0436";"Tolga";"uendret fra 2013 til 2017";"0436";"Tolga";"uendret fra 2017 til 2018";"0436";"Tolga";"uendret fra 2018 til 2019";"3426";"Tolga";"kun endret nummer fra 2019 til 2020"
"0437";"Tynset";"0437";"Tynset";"uendret fra 2013 til 2017";"0437";"Tynset";"uendret fra 2017 til 2018";"0437";"Tynset";"uendret fra 2018 til 2019";"3427";"Tynset";"kun endret nummer fra 2019 til 2020"
"0438";"Alvdal";"0438";"Alvdal";"uendret fra 2013 til 2017";"0438";"Alvdal";"uendret fra 2017 til 2018";"0438";"Alvdal";"uendret fra 2018 til 2019";"3428";"Alvdal";"kun endret nummer fra 2019 til 2020"
"0439";"Folldal";"0439";"Folldal";"uendret fra 2013 til 2017";"0439";"Folldal";"uendret fra 2017 til 2018";"0439";"Folldal";"uendret fra 2018 til 2019";"3429";"Folldal";"kun endret nummer fra 2019 til 2020"
"0441";"Os";"0441";"Os";"uendret fra 2013 til 2017";"0441";"Os";"uendret fra 2017 til 2018";"0441";"Os";"uendret fra 2018 til 2019";"3430";"Os";"kun endret nummer fra 2019 til 2020"
"0501";"Lillehammer";"0501";"Lillehammer";"uendret fra 2013 til 2017";"0501";"Lillehammer";"uendret fra 2017 til 2018";"0501";"Lillehammer";"uendret fra 2018 til 2019";"3405";"Lillehammer";"kun endret nummer fra 2019 til 2020"
"0502";"Gjøvik";"0502";"Gjøvik";"uendret fra 2013 til 2017";"0502";"Gjøvik";"uendret fra 2017 til 2018";"0502";"Gjøvik";"uendret fra 2018 til 2019";"3407";"Gjøvik";"kun endret nummer fra 2019 til 2020"
"0511";"Dovre";"0511";"Dovre";"uendret fra 2013 til 2017";"0511";"Dovre";"uendret fra 2017 til 2018";"0511";"Dovre";"uendret fra 2018 til 2019";"3431";"Dovre";"kun endret nummer fra 2019 til 2020"
"0512";"Lesja";"0512";"Lesja";"uendret fra 2013 til 2017";"0512";"Lesja";"uendret fra 2017 til 2018";"0512";"Lesja";"uendret fra 2018 til 2019";"3432";"Lesja";"kun endret nummer fra 2019 til 2020"
"0513";"Skjåk";"0513";"Skjåk";"uendret fra 2013 til 2017";"0513";"Skjåk";"uendret fra 2017 til 2018";"0513";"Skjåk";"uendret fra 2018 til 2019";"3433";"Skjåk";"kun endret nummer fra 2019 til 2020"
"0514";"Lom";"0514";"Lom";"uendret fra 2013 til 2017";"0514";"Lom";"uendret fra 2017 til 2018";"0514";"Lom";"uendret fra 2018 til 2019";"3434";"Lom";"kun endret nummer fra 2019 til 2020"
"0515";"Vågå";"0515";"Vågå";"uendret fra 2013 til 2017";"0515";"Vågå";"uendret fra 2017 til 2018";"0515";"Vågå";"uendret fra 2018 til 2019";"3435";"Vågå";"kun endret nummer fra 2019 til 2020"
"0516";"Nord-Fron";"0516";"Nord-Fron";"uendret fra 2013 til 2017";"0516";"Nord-Fron";"uendret fra 2017 til 2018";"0516";"Nord-Fron";"uendret fra 2018 til 2019";"3436";"Nord-Fron";"kun endret nummer fra 2019 til 2020"
"0517";"Sel";"0517";"Sel";"uendret fra 2013 til 2017";"0517";"Sel";"uendret fra 2017 til 2018";"0517";"Sel";"uendret fra 2018 til 2019";"3437";"Sel";"kun endret nummer fra 2019 til 2020"
"0519";"Sør-Fron";"0519";"Sør-Fron";"uendret fra 2013 til 2017";"0519";"Sør-Fron";"uendret fra 2017 til 2018";"0519";"Sør-Fron";"uendret fra 2018 til 2019";"3438";"Sør-Fron";"kun endret nummer fra 2019 til 2020"
"0520";"Ringebu";"0520";"Ringebu";"uendret fra 2013 til 2017";"0520";"Ringebu";"uendret fra 2017 til 2018";"0520";"Ringebu";"uendret fra 2018 til 2019";"3439";"Ringebu";"kun endret nummer fra 2019 til 2020"
"0521";"Øyer";"0521";"Øyer";"uendret fra 2013 til 2017";"0521";"Øyer";"uendret fra 2017 til 2018";"0521";"Øyer";"uendret fra 2018 til 2019";"3440";"Øyer";"kun endret nummer fra 2019 til 2020"
"0522";"Gausdal";"0522";"Gausdal";"uendret fra 2013 til 2017";"0522";"Gausdal";"uendret fra 2017 til 2018";"0522";"Gausdal";"uendret fra 2018 til 2019";"3441";"Gausdal";"kun endret nummer fra 2019 til 2020"
"0528";"Østre Toten";"0528";"Østre Toten";"uendret fra 2013 til 2017";"0528";"Østre Toten";"uendret fra 2017 til 2018";"0528";"Østre Toten";"uendret fra 2018 til 2019";"3442";"Østre Toten";"kun endret nummer fra 2019 til 2020"
"0529";"Vestre Toten";"0529";"Vestre Toten";"uendret fra 2013 til 2017";"0529";"Vestre Toten";"uendret fra 2017 til 2018";"0529";"Vestre Toten";"uendret fra 2018 til 2019";"3443";"Vestre Toten";"kun endret nummer fra 2019 til 2020"
