kommuner_2013;kommuner_2017
0706 - Sandefjord;0710 - Sandefjord
0719 - Andebu;0710 - Sandefjord
0720 - Stokke;0710 - Sandefjord
1841 - Fauske;1841 - Fauske - Fuossko
1940 - Gáivuotna - Kåfjord;1940 - Gáivuotna - Kåfjord - Kaivuono
